STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 0.0
Launch Date (YYYYMMDD)           : 20040410
Launch Time (UTC)                : 23:29
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.2	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.3	979.170	293.840	96.957	1.550	15.830	0.140	-5.413	2.723	6.059	116.705	295.607	335.119	15.78668
0.4	967.930	294.050	93.857	1.517	15.673	0.274	-3.932	0.610	3.979	98.818	296.793	336.157	15.67466
0.5	956.880	293.980	93.000	1.458	15.237	0.403	-2.631	-0.364	2.656	82.123	297.694	337.115	15.64508
0.6	945.910	293.200	95.154	1.369	14.473	0.525	-1.020	-1.529	1.838	33.707	297.881	336.822	15.40269
0.7	935.070	292.580	98.000	1.307	13.978	0.642	0.356	-1.708	1.745	348.226	298.229	337.345	15.41987
0.8	924.300	292.230	98.000	1.260	13.632	0.753	1.477	-1.625	2.196	317.732	298.856	337.681	15.25318
0.9	913.640	291.910	97.800	1.176	12.872	0.858	2.578	-1.393	2.930	298.384	299.517	338.047	15.08643
1.0	903.130	291.520	98.000	1.105	12.235	0.956	4.313	-0.887	4.403	281.621	300.104	338.321	14.91313
1.1	892.680	291.200	98.000	1.034	11.583	1.046	5.399	-0.627	5.435	276.624	300.770	338.773	14.77941
1.2	882.400	290.550	98.000	0.950	10.766	1.133	6.098	-0.320	6.106	273.004	301.091	338.067	14.33152
1.3	872.100	290.150	98.000	0.920	10.549	1.217	6.695	-0.351	6.704	273.001	301.684	338.261	14.12801
1.4	861.900	289.850	98.000	0.890	10.326	1.298	7.253	-0.755	7.292	275.943	302.383	338.803	14.01903
1.5	851.910	289.480	97.148	0.880	10.330	1.378	7.896	-0.970	7.955	277.004	303.002	338.778	13.72421
1.6	842.000	289.020	97.000	0.852	10.119	1.457	8.366	-1.059	8.433	277.214	303.530	338.718	13.45204
1.7	832.160	288.880	92.111	0.840	10.094	1.537	8.575	-0.616	8.597	274.109	304.401	338.024	12.80891
1.8	822.450	288.650	85.000	0.900	10.943	1.623	8.599	-0.075	8.599	270.500	305.177	336.212	11.78130
1.9	812.830	288.120	83.423	0.944	11.614	1.710	8.799	0.065	8.799	269.577	305.639	335.503	11.29669
2.0	803.390	287.550	84.704	0.950	11.825	1.800	8.825	0.246	8.828	268.403	306.051	335.692	11.17401
2.1	793.890	287.530	82.340	0.954	12.017	1.888	9.261	0.287	9.265	268.225	307.069	336.299	10.98021
2.2	784.640	287.210	80.660	0.967	12.324	1.976	9.685	-0.066	9.685	270.390	307.753	336.215	10.65468
2.3	775.320	286.640	88.115	0.888	11.453	2.055	9.605	-1.376	9.703	278.153	308.189	338.584	11.33943
