STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 49.0
Launch Date (YYYYMMDD)           : 20160318
Launch Time (UTC)                : 23:51
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1010.800	295.970	72.800	1.500	14.840	0.075	9000.000	9000.000	9000.000	9000.000	295.066	327.672	13.14896
0.2	999.200	295.050	77.000	1.500	15.012	0.212	9000.000	9000.000	9000.000	9000.000	295.117	328.138	13.27114
0.3	987.825	294.050	81.750	1.500	15.185	0.351	9000.000	9000.000	9000.000	9000.000	295.078	328.457	13.37055
0.4	976.482	293.132	85.000	1.500	15.361	0.491	9000.000	9000.000	9000.000	9000.000	295.126	328.338	13.25888
0.5	965.300	292.264	86.000	1.500	15.539	0.622	9000.000	9000.000	9000.000	9000.000	295.219	327.471	12.83188
0.6	954.067	291.650	81.333	1.500	15.722	0.761	9000.000	9000.000	9000.000	9000.000	295.583	325.344	11.80041
0.7	943.000	291.050	78.000	1.500	15.907	0.900	9000.000	9000.000	9000.000	9000.000	295.956	323.827	11.01254
0.8	932.086	290.350	80.000	1.500	16.093	1.043	9000.000	9000.000	9000.000	9000.000	296.225	323.950	10.91738
0.9	921.200	289.650	82.000	1.500	16.283	1.180	9000.000	9000.000	9000.000	9000.000	296.502	324.062	10.81531
1.0	910.400	288.750	86.000	1.500	16.476	1.319	9000.000	9000.000	9000.000	9000.000	296.575	324.235	10.81676
1.1	899.800	288.750	77.429	1.500	16.670	1.456	9000.000	9000.000	9000.000	9000.000	297.566	322.857	9.85573
1.2	889.300	288.450	77.400	1.400	15.743	1.590	9000.000	9000.000	9000.000	9000.000	298.252	323.422	9.77418
1.3	878.900	287.994	69.889	1.400	15.929	1.722	9000.000	9000.000	9000.000	9000.000	298.781	321.177	8.66581
1.4	868.571	287.250	67.857	1.600	18.421	1.863	9000.000	9000.000	9000.000	9000.000	299.013	320.029	8.10251
1.5	858.350	286.500	75.500	1.500	17.475	2.008	9000.000	9000.000	9000.000	9000.000	299.240	321.821	8.67646
1.6	848.100	285.567	76.833	1.500	17.687	2.149	9000.000	9000.000	9000.000	9000.000	299.288	321.210	8.39312
1.7	838.111	284.750	79.111	1.500	17.897	2.291	9000.000	9000.000	9000.000	9000.000	299.440	321.132	8.27563
1.8	828.117	283.950	87.833	1.500	18.113	2.432	9000.000	9000.000	9000.000	9000.000	299.621	322.786	8.80738
1.9	818.300	283.217	91.333	1.400	17.109	2.569	9000.000	9000.000	9000.000	9000.000	299.864	323.134	8.81593
2.0	808.500	282.750	89.000	1.400	17.316	2.699	9000.000	9000.000	9000.000	9000.000	300.399	322.710	8.42206
2.1	798.850	282.150	93.000	1.400	17.525	2.838	9000.000	9000.000	9000.000	9000.000	300.789	323.512	8.54743
2.2	789.300	281.850	89.571	1.300	16.470	2.963	9000.000	9000.000	9000.000	9000.000	301.500	323.279	8.16226
