STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 0.0
Launch Date (YYYYMMDD)           : 19991023
Launch Time (UTC)                : 00:00
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.2	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.3	984.420	290.430	89.222	1.670	16.964	0.156	0.033	1.222	1.222	181.547	291.732	320.660	11.57574
0.4	972.940	289.990	90.000	1.706	17.534	0.314	0.427	0.904	1.000	205.283	292.265	321.055	11.48067
0.5	961.650	289.350	92.000	1.710	17.782	0.472	0.771	0.784	1.100	224.521	292.591	321.241	11.38591
0.6	950.400	289.050	92.000	1.714	18.035	0.632	1.490	0.944	1.764	237.643	293.269	321.794	11.29715
0.7	939.220	288.460	94.000	1.700	18.100	0.786	2.218	0.914	2.399	247.604	293.658	322.125	11.23486
0.8	928.350	288.050	93.250	1.667	17.957	0.941	2.826	-0.652	2.900	282.992	294.215	322.119	10.97499
0.9	917.400	287.550	94.714	1.630	17.768	1.090	2.700	-0.047	2.700	270.997	294.699	322.542	10.91299
1.0	906.650	287.100	92.471	1.575	17.372	1.233	3.794	0.301	3.806	265.464	295.227	322.017	10.46362
1.1	896.050	286.950	88.500	1.520	16.963	1.375	4.123	1.221	4.300	253.504	296.063	321.842	10.03359
1.2	885.500	286.550	77.154	1.518	17.143	1.517	5.867	1.906	6.169	252.003	296.649	318.875	8.61886
1.3	875.000	286.150	75.000	1.500	17.143	1.658	6.025	1.842	6.300	253.000	297.243	318.608	8.25540
1.4	864.660	285.650	81.688	1.490	17.232	1.798	5.658	1.997	6.000	250.559	297.730	320.580	8.79908
1.5	854.470	284.950	80.000	1.510	17.672	1.941	6.067	2.245	6.469	249.694	298.005	319.684	8.31798
1.6	844.300	284.450	84.000	1.510	17.885	2.082	6.441	1.847	6.701	253.999	298.499	320.848	8.54540
1.7	834.300	283.650	87.000	1.490	17.859	2.219	6.695	1.669	6.900	256.002	298.671	320.934	8.48237
1.8	824.300	282.850	94.583	1.408	17.081	2.355	4.588	1.353	4.783	253.569	298.854	322.128	8.83684
1.9	814.430	282.650	95.000	1.450	17.804	2.492	3.499	-0.037	3.499	270.606	299.669	323.092	8.86218
2.0	804.750	282.940	88.077	1.445	17.956	2.637	4.631	-0.246	4.638	273.041	301.000	323.506	8.48432
2.1	795.100	283.050	74.000	1.600	20.123	2.795	6.154	0.756	6.200	262.996	302.153	321.518	7.27095
2.2	785.620	282.730	62.167	1.752	22.301	2.963	6.990	2.160	7.316	252.828	302.844	319.020	6.04853
2.3	776.210	282.240	65.929	1.770	22.803	3.132	7.791	3.159	8.407	247.929	303.359	320.206	6.27774
