STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 0.0
Launch Date (YYYYMMDD)           : 20041001
Launch Time (UTC)                : 23:37
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.2	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.3	983.810	288.770	60.698	2.503	25.442	0.232	-1.405	3.303	3.589	156.957	290.116	307.772	7.06341
0.4	972.330	287.840	62.820	2.518	25.897	0.467	-1.248	2.677	2.954	155.005	290.150	307.597	6.95522
0.5	960.860	287.010	66.357	2.493	25.946	0.701	-0.774	2.370	2.493	161.914	290.293	308.003	7.03529
0.6	949.490	286.130	67.893	2.490	26.225	0.934	-0.120	2.142	2.145	176.794	290.386	307.737	6.86804
0.7	938.300	285.150	71.345	2.490	26.537	1.169	0.678	1.760	1.886	201.068	290.370	307.704	6.83724
0.8	927.180	284.210	73.881	2.499	26.953	1.405	1.553	1.070	1.886	235.434	290.397	307.504	6.72347
0.9	916.120	283.230	78.846	2.495	27.234	1.641	1.893	-0.161	1.900	274.861	290.387	307.732	6.79299
1.0	905.140	282.090	85.333	2.459	27.167	1.874	1.029	-1.778	2.054	329.940	290.213	307.847	6.88127
1.1	894.290	281.240	87.958	2.450	27.396	2.109	1.113	-2.911	3.117	339.076	290.334	307.746	6.77005
1.2	883.580	281.090	75.963	2.481	28.079	2.355	2.105	-4.341	4.824	334.131	291.177	306.299	5.85725
1.3	872.930	282.920	35.036	2.666	30.541	2.620	5.435	-3.358	6.389	301.710	294.086	302.143	3.10334
1.4	862.460	283.200	26.069	2.902	33.648	2.909	7.122	-2.242	7.467	287.474	295.391	301.608	2.38287
1.5	852.070	283.590	10.105	3.149	36.957	3.215	8.344	-0.718	8.375	274.918	296.821	299.358	0.96041
1.6	841.900	284.060	1.049	3.316	39.387	3.531	8.785	0.277	8.789	268.194	298.331	298.643	0.10422
1.7	831.820	283.790	3.583	3.320	39.912	3.844	8.889	0.745	8.920	265.209	299.072	300.042	0.35377
1.8	821.900	283.250	4.327	3.293	40.066	4.159	8.545	0.598	8.566	265.997	299.525	300.667	0.41676
1.9	812.000	282.500	3.000	3.305	40.702	4.477	8.359	0.804	8.398	264.506	299.765	300.546	0.27782
2.0	802.260	281.630	4.576	3.383	42.168	4.806	7.909	0.276	7.914	268.001	299.871	300.992	0.40396
2.1	792.600	280.950	5.000	3.490	44.032	5.137	7.582	0.530	7.601	266.001	300.180	301.367	0.42623
2.2	782.950	280.180	4.000	3.351	42.800	5.453	7.719	0.912	7.773	263.262	300.404	301.334	0.32718
2.3	773.490	279.560	5.625	3.241	41.901	5.760	8.018	0.428	8.029	266.944	300.779	302.033	0.44599
