STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 69.0
Launch Date (YYYYMMDD)           : 19970616
Launch Time (UTC)                : 23:00
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1013.620	292.060	49.900	3.171	31.287	0.138	9000.000	9000.000	9000.000	9000.000	290.937	308.251	6.98846
0.2	1001.800	291.150	55.000	3.215	32.092	0.443	9000.000	9000.000	9000.000	9000.000	291.001	309.269	7.34759
0.3	990.053	290.191	58.294	3.284	33.171	0.766	9000.000	9000.000	9000.000	9000.000	291.019	309.487	7.40209
0.4	978.464	289.182	61.840	3.134	32.025	1.068	9000.000	9000.000	9000.000	9000.000	290.981	309.599	7.43615
0.5	967.012	288.162	64.969	3.215	33.247	1.374	9000.000	9000.000	9000.000	9000.000	290.929	309.497	7.39023
0.6	955.540	287.343	67.767	3.118	32.631	1.688	9000.000	9000.000	9000.000	9000.000	291.090	309.718	7.38807
0.7	944.191	286.514	71.273	3.047	32.269	1.946	9000.000	9000.000	9000.000	9000.000	291.239	310.066	7.44042
0.8	933.071	285.718	71.000	3.118	33.417	2.238	9000.000	9000.000	9000.000	9000.000	291.412	309.469	7.11055
0.9	921.950	284.900	73.167	3.102	33.642	2.518	9000.000	9000.000	9000.000	9000.000	291.572	309.458	7.01813
1.0	910.967	284.128	78.111	3.020	33.152	2.802	9000.000	9000.000	9000.000	9000.000	291.776	310.181	7.19635
1.1	899.980	283.210	82.400	3.020	33.556	3.099	9000.000	9000.000	9000.000	9000.000	291.840	310.369	7.21836
1.2	889.264	282.446	84.000	2.989	33.611	3.379	9000.000	9000.000	9000.000	9000.000	292.048	310.256	7.06806
1.3	878.471	281.457	87.286	2.958	33.667	3.663	9000.000	9000.000	9000.000	9000.000	292.039	309.994	6.94416
1.4	867.850	281.175	67.250	2.996	34.520	3.949	9000.000	9000.000	9000.000	9000.000	292.759	306.495	5.29083
1.5	857.492	284.682	11.921	3.215	37.493	4.271	9000.000	9000.000	9000.000	9000.000	297.426	300.613	1.21254
1.6	847.292	285.192	7.167	3.215	37.944	4.570	9000.000	9000.000	9000.000	9000.000	298.976	301.009	0.76467
1.7	837.200	285.656	9.000	3.209	38.334	4.877	9000.000	9000.000	9000.000	9000.000	300.486	303.150	1.00221
1.8	827.200	285.150	6.294	3.118	37.694	5.164	9000.000	9000.000	9000.000	9000.000	300.983	302.827	0.68553
1.9	817.376	285.150	8.765	3.192	39.055	5.472	9000.000	9000.000	9000.000	9000.000	302.009	304.602	0.96650
2.0	807.665	284.755	9.000	3.215	39.806	5.770	9000.000	9000.000	9000.000	9000.000	302.619	305.255	0.97797
2.1	797.992	284.158	10.538	3.118	39.073	6.061	9000.000	9000.000	9000.000	9000.000	303.022	306.028	1.11321
2.2	788.481	283.828	8.594	3.118	39.545	6.349	9000.000	9000.000	9000.000	9000.000	303.706	306.154	0.89871
