STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 0.0
Launch Date (YYYYMMDD)           : 20081229
Launch Time (UTC)                : 23:49
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.2	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.3	986.290	293.560	78.450	1.020	10.342	0.092	-8.273	4.459	9.398	118.324	294.717	325.817	12.45199
0.4	975.030	292.540	82.238	1.014	10.400	0.185	-8.621	4.135	9.561	115.624	294.655	325.641	12.36450
0.5	963.750	291.730	85.216	1.011	10.490	0.278	-8.901	4.557	10.000	117.111	294.814	325.746	12.30066
0.6	952.650	291.130	76.250	1.020	10.707	0.372	-8.873	4.521	9.958	117.000	295.180	322.205	10.70985
0.7	941.570	290.560	75.542	1.029	10.929	0.469	-8.322	3.749	9.127	114.251	295.586	321.779	10.34454
0.8	930.580	289.990	73.458	1.051	11.294	0.568	-7.671	2.873	8.191	110.532	295.994	320.911	9.80623
0.9	919.750	289.280	73.000	1.088	11.829	0.669	-8.006	2.500	8.387	107.342	296.256	320.251	9.41097
1.0	909.070	288.730	72.000	1.122	12.342	0.776	-8.028	2.022	8.279	104.137	296.678	319.852	9.05738
1.1	898.370	288.020	73.878	1.164	12.957	0.884	-7.079	2.378	7.468	108.568	296.948	319.987	8.97291
1.2	887.830	287.560	74.000	1.151	12.964	0.993	-7.220	0.959	7.283	97.566	297.472	320.202	8.82162
1.3	877.290	287.010	74.880	1.161	13.234	1.102	-7.362	0.890	7.416	96.893	297.915	320.435	8.70931
1.4	866.980	286.400	71.702	1.182	13.634	1.212	-6.053	0.530	6.076	95.004	298.284	319.310	8.10192
1.5	856.800	286.040	75.578	1.180	13.772	1.325	-6.049	1.005	6.132	99.433	298.913	320.882	8.43614
1.6	846.640	285.480	66.689	1.217	14.374	1.442	-5.490	1.156	5.610	101.891	299.344	318.309	7.25515
1.7	836.600	284.840	63.596	1.273	15.216	1.562	-4.960	0.630	5.000	97.239	299.689	317.283	6.70575
1.8	826.670	284.050	68.510	1.280	15.484	1.682	-5.415	1.685	5.671	107.285	299.876	318.120	6.92912
1.9	816.770	283.330	71.735	1.241	15.194	1.800	-6.188	1.518	6.371	103.783	300.144	318.618	6.99160
2.0	807.000	282.650	73.000	1.230	15.242	1.914	-6.812	2.891	7.400	112.996	300.452	318.680	6.87353
2.1	797.400	281.950	83.000	1.190	14.924	2.025	-6.707	3.127	7.400	114.996	300.731	320.786	7.53749
2.2	787.840	281.250	89.228	1.148	14.571	2.133	-6.349	2.591	6.857	112.200	301.017	321.881	7.81423
2.3	778.390	281.220	84.824	1.113	14.299	2.237	-6.486	2.432	6.927	110.554	302.021	322.132	7.50436
