STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 49.0
Launch Date (YYYYMMDD)           : 20091121
Launch Time (UTC)                : 00:01
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	999.430	292.933	77.151	1.708	17.085	0.168	9000.000	9000.000	9000.000	9000.000	292.981	321.861	11.60816
0.2	987.909	291.889	80.768	1.700	17.208	0.325	9000.000	9000.000	9000.000	9000.000	292.903	321.576	11.48566
0.3	976.469	290.842	82.615	1.700	17.410	0.475	8.680	3.660	9.420	247.137	292.822	320.637	11.10371
0.4	965.125	289.938	82.625	1.700	17.614	0.632	8.952	3.800	9.725	246.999	292.884	319.505	10.59038
0.5	953.854	289.119	84.000	1.700	17.823	0.791	9.452	3.598	10.114	249.160	293.037	319.078	10.32435
0.6	942.740	288.694	81.480	1.700	18.033	0.947	9.585	2.836	9.996	253.518	293.584	318.526	9.85384
0.7	931.715	287.965	81.000	1.700	18.246	1.106	9.714	2.338	9.991	256.467	293.826	317.817	9.44526
0.8	920.738	287.148	83.808	1.700	18.464	1.264	10.057	1.700	10.200	260.406	293.983	317.853	9.36500
0.9	909.880	286.290	86.400	1.660	18.243	1.419	9.953	1.153	10.020	263.392	294.096	317.695	9.22587
1.0	899.151	285.501	87.745	1.700	18.907	1.580	9.618	0.609	9.637	266.377	294.278	317.359	8.99138
1.1	888.524	284.748	91.000	1.700	19.133	1.743	9.689	0.465	9.700	267.252	294.498	317.604	8.96988
1.2	877.966	284.005	92.113	1.600	18.224	1.894	9.816	0.363	9.823	267.882	294.731	317.316	8.73666
1.3	867.492	283.366	92.333	1.696	19.551	2.047	10.297	0.554	10.312	266.920	295.075	317.086	8.48415
1.4	857.200	284.150	57.000	1.750	20.415	2.206	10.940	1.150	11.000	263.999	296.899	311.477	5.59448
1.5	847.000	288.050	1.000	2.470	29.162	2.432	11.883	1.670	12.000	262.000	302.002	302.378	0.12923
1.6	837.000	287.744	1.000	2.800	33.453	2.698	12.434	2.643	12.712	258.000	302.703	303.080	0.12816
1.7	827.110	287.560	1.000	2.690	32.522	2.952	12.769	2.925	13.100	257.098	303.536	303.917	0.12814
1.8	817.316	287.442	1.000	2.592	31.711	3.191	12.704	2.682	12.984	258.079	304.442	304.829	0.12869
1.9	807.720	287.350	1.000	2.600	32.189	3.437	12.744	1.996	12.899	261.098	305.371	305.763	0.12945
2.0	798.129	287.121	1.000	2.600	32.576	3.683	12.895	1.790	13.019	262.097	306.167	306.563	0.12904
2.1	788.712	286.642	1.000	2.600	32.965	3.921	13.339	1.402	13.412	264.000	306.691	307.084	0.12648
2.2	779.315	286.135	1.000	2.600	33.363	4.176	14.058	1.230	14.112	265.000	307.196	307.585	0.12373
2.3	770.084	285.462	1.000	2.600	33.763	4.411	14.609	1.526	14.688	264.037	307.515	307.898	0.11967
