STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 49.92029369
Launch Date (YYYYMMDD)           : 20190913
Launch Time (UTC)                : 23:45
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1014.919	291.004	75.596	2.121	20.902	0.102	-4.999	0.892	5.078	100.118	289.779	314.226	9.87086
0.2	1003.185	289.908	79.192	2.200	21.928	0.302	-7.635	1.486	7.778	101.014	289.646	313.850	9.73905
0.3	991.369	288.792	83.265	2.204	22.232	0.506	-8.533	-0.292	8.538	88.042	289.506	313.520	9.62864
0.4	979.882	287.863	86.291	2.240	22.860	0.714	-8.529	-0.492	8.543	86.698	289.534	313.291	9.49330
0.5	968.323	287.031	89.503	2.311	23.864	0.920	-8.262	-1.071	8.331	82.617	289.675	313.352	9.42819
0.6	956.900	286.097	93.787	2.261	23.632	1.137	-8.929	-1.572	9.067	80.016	289.710	313.378	9.39188
0.7	945.525	285.245	95.040	2.214	23.416	1.346	-8.903	-1.380	9.009	81.188	289.832	312.835	9.09542
0.8	934.339	284.298	96.876	2.147	22.980	1.553	-8.237	-0.893	8.285	83.811	289.851	312.186	8.80014
0.9	923.256	283.541	97.198	2.127	23.042	1.752	-7.714	-0.527	7.732	86.089	290.064	311.681	8.48712
1.0	912.229	282.909	100.000	2.118	23.216	1.954	-8.534	-0.983	8.590	83.427	290.410	312.046	8.46458
1.1	901.332	282.527	100.000	2.032	22.548	2.149	-10.073	0.110	10.073	90.625	291.012	312.421	8.34599
1.2	890.567	281.953	100.000	2.006	22.530	2.342	-9.715	0.198	9.717	91.169	291.416	312.322	8.12048
1.3	879.904	281.531	100.000	2.105	23.928	2.537	-10.313	0.386	10.320	92.146	291.980	312.609	7.98390
1.4	869.350	281.252	95.369	1.975	22.724	2.731	-11.349	-1.106	11.403	84.434	292.695	312.299	7.55984
1.5	858.869	282.995	61.890	2.064	24.030	2.924	-10.371	-0.761	10.399	85.801	295.529	310.117	5.60190
1.6	848.644	284.185	57.278	2.116	24.936	3.123	-10.085	0.425	10.094	92.416	297.785	312.664	5.69292
1.7	838.465	284.915	40.361	2.277	27.158	3.328	-9.135	1.475	9.254	99.173	299.578	310.784	4.26803
1.8	828.526	284.876	37.557	2.756	33.259	3.569	-8.080	2.566	8.478	107.620	300.556	311.123	4.00912
1.9	818.691	284.659	41.434	2.847	34.771	3.838	-6.723	2.596	7.207	111.114	301.350	313.016	4.41151
2.0	808.958	284.431	38.460	2.879	35.584	4.108	-6.419	2.150	6.770	108.519	302.136	312.971	4.08101
2.1	799.325	283.929	37.233	2.852	35.685	4.377	-6.591	2.102	6.918	107.684	302.634	312.935	3.86455
2.2	789.724	283.457	40.048	2.424	30.693	4.633	-6.589	2.555	7.067	111.192	303.173	314.070	4.07447
2.3	780.326	282.828	36.858	2.108	27.020	4.840	-6.097	2.954	6.775	115.851	303.533	313.298	3.63518
