STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 0.0
Launch Date (YYYYMMDD)           : 20040723
Launch Time (UTC)                : 23:39
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.2	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.3	990.940	289.390	59.510	2.635	26.591	0.245	-6.078	-1.234	6.202	78.523	290.141	308.005	7.16193
0.4	979.290	288.450	62.786	2.614	26.693	0.488	-6.427	-1.203	6.539	79.398	290.175	308.164	7.18669
0.5	967.750	287.410	66.133	2.580	26.660	0.728	-6.706	-1.166	6.807	80.136	290.106	308.065	7.14937
0.6	956.360	286.450	70.400	2.556	26.726	0.964	-6.845	-0.865	6.899	82.798	290.114	308.323	7.22335
0.7	945.130	285.540	73.787	2.512	26.578	1.201	-6.368	-0.470	6.385	85.779	290.167	308.398	7.20690
0.8	933.860	284.480	78.472	2.503	26.803	1.437	-5.094	-0.419	5.111	85.298	290.079	308.411	7.22084
0.9	922.750	283.500	82.316	2.488	26.963	1.672	-4.714	-0.508	4.741	83.849	290.067	308.339	7.17159
1.0	911.710	282.560	87.934	2.457	26.949	1.902	-4.537	-1.205	4.694	75.126	290.098	308.690	7.27090
1.1	900.890	281.850	91.000	2.440	27.084	2.134	-4.703	-2.000	5.111	66.962	290.355	308.964	7.25214
1.2	890.030	281.470	91.000	2.411	27.089	2.360	-6.175	-2.761	6.764	65.909	290.967	309.384	7.15125
1.3	879.390	281.440	74.526	2.349	26.712	2.578	-8.428	-2.884	8.908	71.109	291.934	307.230	5.91610
1.4	868.820	285.560	55.617	2.208	25.414	2.783	-9.755	-2.432	10.054	76.001	297.230	312.606	5.92549
1.5	858.610	285.710	52.553	2.196	25.576	2.990	-9.584	-2.726	9.964	74.123	298.389	313.298	5.72453
1.6	848.400	285.490	50.372	2.194	25.860	3.196	-9.387	-2.533	9.723	74.899	299.177	313.482	5.47215
1.7	838.330	284.960	50.000	2.180	26.004	3.400	-9.223	-1.437	9.334	81.144	299.639	313.556	5.30413
1.8	828.370	285.090	47.571	2.154	26.003	3.602	-7.754	-0.126	7.755	89.069	300.798	314.370	5.15345
1.9	818.470	285.000	44.549	2.094	25.584	3.796	-6.593	0.847	6.647	97.321	301.735	314.571	4.85572
2.0	808.770	284.610	39.429	2.026	25.050	3.991	-5.866	1.617	6.085	105.411	302.347	313.593	4.23628
2.1	799.150	284.070	39.245	2.121	26.541	4.199	-6.454	2.068	6.777	107.767	302.803	313.766	4.11385
2.2	789.600	283.850	34.048	2.260	28.622	4.410	-6.580	1.294	6.706	101.126	303.607	313.133	3.55905
