STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 0.0
Launch Date (YYYYMMDD)           : 19951230
Launch Time (UTC)                : 00:00
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.2	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.3	987.330	294.020	73.500	0.800	8.103	0.073	9000.000	9000.000	9000.000	9000.000	295.090	325.063	12.00420
0.4	975.910	293.260	76.978	0.800	8.197	0.146	9000.000	9000.000	9000.000	9000.000	295.304	325.656	12.11470
0.5	964.720	292.660	74.541	0.800	8.293	0.220	9000.000	9000.000	9000.000	9000.000	295.669	324.375	11.41848
0.6	953.570	292.120	72.912	0.800	8.390	0.293	9000.000	9000.000	9000.000	9000.000	296.103	323.632	10.91324
0.7	942.590	291.390	72.000	0.800	8.487	0.366	9000.000	9000.000	9000.000	9000.000	296.339	322.660	10.39853
0.8	931.720	290.760	71.000	0.800	8.586	0.440	9000.000	9000.000	9000.000	9000.000	296.677	321.968	9.95742
0.9	920.870	290.020	71.088	0.800	8.687	0.514	9000.000	9000.000	9000.000	9000.000	296.911	321.407	9.61105
1.0	910.080	289.380	73.000	0.800	8.790	0.593	9000.000	9000.000	9000.000	9000.000	297.252	321.744	9.57616
1.1	899.490	289.080	65.641	0.900	10.006	0.677	9000.000	9000.000	9000.000	9000.000	297.935	319.864	8.54309
1.2	888.920	288.660	63.095	0.900	10.125	0.765	9000.000	9000.000	9000.000	9000.000	298.506	319.328	8.08316
1.3	878.490	288.080	62.559	1.000	11.383	0.854	9000.000	9000.000	9000.000	9000.000	298.909	319.085	7.80467
1.4	868.180	287.330	77.875	0.900	10.367	0.937	9000.000	9000.000	9000.000	9000.000	299.135	323.392	9.35283
1.5	857.990	286.920	80.147	0.885	10.315	1.016	9000.000	9000.000	9000.000	9000.000	299.714	324.382	9.47823
1.6	847.800	286.450	81.023	0.800	9.436	1.091	9000.000	9000.000	9000.000	9000.000	300.244	324.788	9.39768
1.7	837.830	285.990	81.000	0.800	9.548	1.166	9000.000	9000.000	9000.000	9000.000	300.773	324.935	9.21867
1.8	827.900	285.570	81.000	0.800	9.663	1.245	9000.000	9000.000	9000.000	9000.000	301.353	325.210	9.07017
1.9	818.200	284.860	81.984	0.898	10.975	1.325	9000.000	9000.000	9000.000	9000.000	301.615	324.987	8.85443
2.0	808.460	284.190	83.000	0.800	9.895	1.400	9000.000	9000.000	9000.000	9000.000	301.934	324.899	8.66933
2.1	798.880	283.770	84.000	0.800	10.014	1.481	9000.000	9000.000	9000.000	9000.000	302.513	325.453	8.62952
2.2	789.320	283.290	82.400	0.900	11.402	1.571	9000.000	9000.000	9000.000	9000.000	303.038	325.163	8.29209
