STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 69.0
Launch Date (YYYYMMDD)           : 19960802
Launch Time (UTC)                : 23:03
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	1016.362	290.812	58.476	2.774	27.296	0.136	9000.000	9000.000	9000.000	9000.000	289.471	308.110	7.52927
0.2	1004.488	289.438	62.706	2.796	27.840	0.350	9000.000	9000.000	9000.000	9000.000	289.069	307.617	7.46632
0.3	992.650	288.183	67.917	2.825	28.459	0.644	9000.000	9000.000	9000.000	9000.000	288.790	307.569	7.53286
0.4	980.933	287.183	70.000	2.890	29.464	0.929	9000.000	9000.000	9000.000	9000.000	288.763	307.156	7.35191
0.5	969.335	286.244	74.059	2.774	28.613	1.189	9000.000	9000.000	9000.000	9000.000	288.795	307.354	7.39207
0.6	957.806	285.235	78.000	2.804	29.280	1.433	9000.000	9000.000	9000.000	9000.000	288.759	307.311	7.36292
0.7	946.425	285.150	68.500	2.631	27.799	1.689	9000.000	9000.000	9000.000	9000.000	289.658	306.114	6.50728
0.8	935.077	284.708	64.000	2.747	29.373	1.965	9000.000	9000.000	9000.000	9000.000	290.204	305.365	5.97316
0.9	923.900	283.950	65.000	2.728	29.527	2.223	9000.000	9000.000	9000.000	9000.000	290.424	305.282	5.83232
1.0	912.900	283.083	69.667	2.728	29.883	2.480	9000.000	9000.000	9000.000	9000.000	290.528	305.773	5.96305
1.1	901.941	282.244	74.059	2.728	30.246	2.738	9000.000	9000.000	9000.000	9000.000	290.665	306.207	6.05730
1.2	891.075	281.275	77.750	2.728	30.615	2.996	9000.000	9000.000	9000.000	9000.000	290.668	306.173	6.02083
1.3	880.300	280.650	80.000	2.728	30.989	3.275	9000.000	9000.000	9000.000	9000.000	291.029	306.550	6.00520
1.4	869.576	279.615	85.000	2.717	31.240	3.533	9000.000	9000.000	9000.000	9000.000	290.970	306.558	6.00938
1.5	859.067	279.117	83.667	2.631	30.626	3.771	9000.000	9000.000	9000.000	9000.000	291.459	306.515	5.78247
1.6	848.626	279.650	69.583	2.670	31.466	4.052	9000.000	9000.000	9000.000	9000.000	293.035	306.248	5.05429
1.7	838.295	280.743	31.977	2.825	33.699	4.334	9000.000	9000.000	9000.000	9000.000	295.208	301.861	2.52775
1.8	828.206	283.762	1.000	2.923	35.293	4.583	9000.000	9000.000	9000.000	9000.000	299.414	299.717	0.09898
1.9	818.315	284.371	1.848	3.118	38.103	4.875	9000.000	9000.000	9000.000	9000.000	301.085	301.639	0.19232
2.0	808.603	285.150	1.000	3.118	38.560	5.167	9000.000	9000.000	9000.000	9000.000	302.938	303.283	0.11148
2.1	799.000	285.150	0.000	3.313	41.464	5.479	9000.000	9000.000	9000.000	9000.000	303.971	304.024	0.00000
2.2	789.408	285.150	0.000	3.407	43.164	5.805	9000.000	9000.000	9000.000	9000.000	305.018	305.074	0.00000
