STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 0.0
Launch Date (YYYYMMDD)           : 19990710
Launch Time (UTC)                : 00:00
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.2	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.3	984.390	290.360	85.909	2.090	21.231	0.191	1.763	-0.777	1.927	293.784	291.664	319.392	11.09518
0.4	973.000	290.350	77.000	2.060	21.172	0.379	4.483	-0.392	4.500	274.997	292.623	317.842	10.05684
0.5	961.700	289.650	82.000	2.020	21.004	0.567	5.081	-0.444	5.100	274.994	292.890	318.935	10.35060
0.6	950.400	288.970	80.000	2.020	21.254	0.754	4.799	-0.102	4.800	271.218	293.188	317.863	9.77175
0.7	939.220	288.260	86.063	1.980	21.081	0.938	5.446	1.976	5.793	250.057	293.455	319.175	10.15048
0.8	928.200	287.770	79.818	1.970	21.224	1.124	5.100	2.966	5.900	239.819	293.943	317.393	9.22205
0.9	917.360	287.710	75.000	2.050	22.347	1.315	4.573	2.598	5.259	240.398	294.866	317.156	8.73468
1.0	906.580	286.990	77.583	2.056	22.679	1.507	5.286	1.718	5.558	251.995	295.120	317.438	8.71520
1.1	895.900	285.980	82.846	2.051	22.893	1.701	5.523	1.409	5.700	255.688	295.076	317.693	8.80124
1.2	885.240	285.190	87.600	2.060	23.271	1.892	5.414	-0.530	5.440	275.591	295.266	318.296	8.93059
1.3	874.880	284.650	94.000	2.040	23.317	2.086	3.723	-1.391	3.974	290.487	295.697	319.890	9.34949
1.4	864.470	283.920	96.000	2.070	23.945	2.281	4.497	-2.163	4.990	295.687	295.946	319.827	9.19636
1.5	854.190	283.360	96.000	2.060	24.116	2.479	4.947	-2.847	5.708	299.920	296.370	319.718	8.95894
1.6	843.900	283.150	97.000	2.080	24.647	2.676	3.346	-3.849	5.100	318.999	297.175	320.801	9.03329
1.7	833.900	282.850	97.000	2.110	25.303	2.876	3.076	-4.560	5.500	325.998	297.870	321.378	8.95677
1.8	823.980	282.250	98.000	2.130	25.850	3.076	3.155	-4.505	5.500	324.995	298.253	321.403	8.78880
1.9	814.080	281.670	98.000	2.070	25.427	3.273	3.650	-4.350	5.678	320.001	298.666	321.263	8.54746
2.0	804.300	281.300	96.000	2.050	25.488	3.469	4.371	-4.606	6.350	316.500	299.303	321.223	8.26151
2.1	794.600	280.740	93.083	2.050	25.799	3.664	6.238	-4.194	7.517	303.914	299.741	320.513	7.79975
2.2	785.100	280.050	94.000	2.070	26.366	3.867	6.553	-4.761	8.100	306.000	300.030	320.339	7.59800
2.3	775.500	279.450	90.000	2.110	27.208	4.070	6.301	-4.250	7.600	304.000	300.439	319.389	7.06233
