STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 49.0
Launch Date (YYYYMMDD)           : 20090522
Launch Time (UTC)                : 23:23
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	999.736	294.414	82.182	2.009	20.097	0.172	9000.000	9000.000	9000.000	9000.000	294.436	328.245	13.59036
0.2	988.293	293.532	86.591	2.200	22.261	0.369	9000.000	9000.000	9000.000	9000.000	294.518	328.690	13.68988
0.3	976.900	292.610	90.200	2.200	22.520	0.574	-3.096	-2.163	3.777	55.060	294.565	328.617	13.59573
0.4	965.609	291.541	94.636	2.200	22.784	0.777	-2.965	-2.288	3.745	52.344	294.462	328.304	13.46603
0.5	954.524	290.674	97.878	2.200	23.048	0.986	-3.168	-3.035	4.387	46.228	294.554	328.134	13.31669
0.6	943.410	290.056	98.979	2.298	24.358	1.196	-2.712	-3.339	4.302	39.084	294.909	328.022	13.08657
0.7	932.390	289.442	95.000	2.300	24.668	1.414	-1.861	-3.649	4.096	27.022	295.272	326.269	12.20797
0.8	921.523	288.673	95.942	2.300	24.959	1.626	-1.731	-3.389	3.805	27.057	295.472	325.685	11.85804
0.9	910.754	287.804	98.865	2.300	25.254	1.839	-0.851	-3.136	3.249	15.182	295.570	325.412	11.67201
1.0	900.067	287.061	97.667	2.300	25.554	2.062	-0.619	-2.571	2.644	13.537	295.801	324.297	11.10714
1.1	889.449	286.701	87.608	2.237	25.152	2.262	-0.566	-2.306	2.374	13.790	296.430	321.759	9.83690
1.2	878.968	286.252	92.660	2.266	25.781	2.477	-0.646	-2.413	2.498	14.988	296.967	323.379	10.22230
1.3	868.594	285.792	92.000	2.200	25.329	2.682	-0.384	-2.973	2.998	7.360	297.493	323.317	9.95916
1.4	858.354	285.388	88.846	2.200	25.631	2.889	-0.211	-2.750	2.758	4.388	298.079	322.714	9.46711
1.5	848.164	285.535	74.075	2.200	25.939	3.094	0.299	-1.997	2.019	351.485	299.248	320.334	8.07236
1.6	838.100	284.448	79.830	2.200	26.250	3.294	0.897	-1.239	1.530	324.097	299.124	320.558	8.17688
1.7	828.147	283.609	92.000	2.200	26.566	3.504	1.367	-0.007	1.367	270.293	299.259	322.962	9.01258
1.8	818.253	283.244	88.936	2.200	26.887	3.708	1.418	0.754	1.606	241.999	299.898	322.603	8.60149
1.9	808.500	282.815	84.326	2.200	27.211	3.914	2.190	0.702	2.300	252.227	300.469	321.706	8.01590
2.0	798.886	282.371	79.140	2.200	27.538	4.118	3.430	0.489	3.465	261.886	301.021	320.661	7.38525
2.1	789.324	282.450	55.905	2.124	26.908	4.319	4.237	1.500	4.495	250.505	302.140	316.323	5.30871
2.2	779.800	282.100	49.500	2.300	29.495	4.542	5.153	0.952	5.240	259.533	302.811	315.277	4.64595
2.3	770.445	281.505	50.000	2.300	29.853	4.759	5.915	-0.207	5.919	272.004	303.212	315.491	4.55901
