STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 49.9
Launch Date (YYYYMMDD)           : 20180527
Launch Time (UTC)                : 00:32
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	999.039	295.298	85.157	1.800	18.017	0.088	8.132	-6.961	10.704	310.563	295.379	332.488	14.91383
0.2	987.658	294.350	89.136	1.900	19.237	0.255	10.221	-9.765	14.136	313.693	295.393	332.505	14.86491
0.3	976.338	293.450	91.578	2.000	20.485	0.436	11.259	-10.942	15.700	314.181	295.458	331.991	14.58388
0.4	965.165	292.550	94.461	2.000	20.722	0.621	12.363	-11.504	16.887	312.939	295.520	331.613	14.36023
0.5	955.087	291.950	92.844	2.000	20.941	0.830	14.525	-11.768	18.694	309.012	295.797	330.391	13.72129
0.6	942.910	290.850	96.410	2.000	21.211	0.987	17.092	-9.990	19.798	300.306	295.761	329.763	13.43607
0.7	931.944	290.050	96.093	2.000	21.461	1.170	19.341	-9.390	21.500	295.895	295.932	328.587	12.85937
0.8	921.176	289.850	84.592	2.000	21.711	1.351	21.311	-6.900	22.400	287.940	296.708	325.518	11.30559
0.9	910.413	289.250	81.493	2.100	23.066	1.543	19.139	-7.062	20.400	290.253	297.087	324.180	10.59485
1.0	899.848	288.580	81.693	2.000	22.226	1.738	20.097	-6.842	21.230	288.800	297.386	323.767	10.28098
1.1	889.233	287.850	85.450	2.100	23.616	1.930	18.744	-6.381	19.800	288.800	297.638	324.338	10.36898
1.2	878.811	287.350	90.253	2.000	22.758	2.120	18.924	-4.704	19.500	283.958	298.121	325.820	10.72011
1.3	868.485	286.450	94.889	2.000	23.029	2.309	19.069	-4.367	19.563	282.900	298.189	326.034	10.73909
1.4	858.176	285.650	96.862	1.900	22.140	2.486	19.981	-4.882	20.569	283.731	298.369	325.726	10.51376
1.5	848.080	285.474	90.552	1.900	22.404	2.664	18.806	-3.870	19.200	281.628	299.192	324.862	9.83019
1.6	838.053	284.950	90.384	1.900	22.672	2.839	18.554	-5.667	19.400	286.984	299.657	324.775	9.58489
1.7	828.171	285.750	68.253	1.900	22.942	3.017	16.913	-5.299	17.724	287.395	301.515	321.861	7.73378
1.8	818.317	285.050	70.443	1.900	23.218	3.199	18.851	-4.199	19.313	282.557	301.804	322.149	7.70571
1.9	808.576	284.250	74.876	1.900	23.498	3.376	19.007	-4.962	19.644	284.632	301.985	322.788	7.85167
2.0	798.991	283.450	81.118	1.900	23.780	3.556	16.328	-3.726	16.748	282.856	302.160	323.832	8.15168
2.1	789.478	282.919	75.317	1.800	22.800	3.727	15.831	-3.579	16.231	282.739	302.625	322.340	7.38736
2.2	779.992	282.050	87.763	1.800	23.077	3.901	17.798	-1.731	17.882	275.555	302.735	324.711	8.20717
2.3	770.694	281.950	89.577	1.800	23.356	4.072	19.196	-2.002	19.300	275.953	303.664	326.290	8.42088
