STATION                          : Easter Island (Rapa Nui), Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program (https://woudc.org/)
Data Compilation                 : 05 April, 2021, by CR2 Center for Climate and Resilience Research. Linearly interpolated data every 100 m
Latitude (deg)                   : -27.17
Longitude (deg)                  : -109.42
Elevation (m)                    : 0.0
Launch Date (YYYYMMDD)           : 20040313
Launch Time (UTC)                : 23:36
Sonde Instrument, SN             : SPC 6A
Radiosonde, SN                   : 
Solution                         : 
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Variables measured by sonde      : Geopotential Height, Pressure, Ozone Partial Pressure, Temperature, Relative Humidity, Wind Speed, Wind Direction
Variables calculated from data   : Mixing Ratio Ozone by volume, Column Ozone, Zonal and Meridional Winds, Potential Temperature, Equivalent Potential Temperature, Water Vapor Mixing Ratio by mass

Alt	Press	Temp	RH	O3	O3	O3	uwnd	vwnd	Speed	Direction	Theta	Theta_e	MixRatio_H2O
km	hPa	K	%	mPa	ppbv	DU	m/s	m/s	m/s	°	K	K	g/kg
0.0	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.1	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.2	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.000	9000.00000
0.3	980.890	295.040	65.000	0.610	6.219	0.055	0.152	2.954	2.958	182.946	296.666	325.212	11.41063
0.4	969.730	294.240	65.863	0.600	6.187	0.109	-0.268	2.844	2.857	174.617	296.827	324.724	11.11355
0.5	958.620	293.210	73.789	0.600	6.259	0.164	-0.354	3.371	3.390	174.005	296.761	326.454	11.78950
0.6	947.580	292.420	73.143	0.597	6.300	0.218	0.407	3.660	3.683	186.345	296.939	325.334	11.23568
0.7	936.560	291.700	68.091	0.569	6.075	0.270	1.036	3.966	4.099	194.640	297.197	322.814	10.10110
0.8	925.680	290.820	69.862	0.560	6.050	0.322	0.782	4.025	4.100	190.995	297.288	322.487	9.90207
0.9	914.950	289.900	72.625	0.570	6.230	0.375	1.138	3.461	3.643	198.201	297.333	322.374	9.80595
1.0	904.290	289.030	73.913	0.575	6.359	0.429	1.600	2.386	2.873	213.845	297.432	321.868	9.53593
1.1	893.740	288.300	74.000	0.598	6.691	0.485	2.691	1.652	3.158	238.454	297.674	321.345	9.20519
1.2	883.200	287.550	74.021	0.610	6.907	0.543	2.832	1.699	3.303	239.039	297.905	320.783	8.86535
1.3	872.790	287.030	74.915	0.620	7.104	0.599	3.592	1.871	4.050	242.486	298.372	321.086	8.77091
1.4	862.580	286.630	72.600	0.594	6.886	0.658	4.617	2.344	5.178	243.084	298.957	320.722	8.37452
1.5	852.350	286.450	72.267	0.654	7.673	0.720	5.880	4.034	7.131	235.548	299.786	321.529	8.33652
1.6	842.400	285.970	76.000	0.679	8.060	0.785	5.912	4.763	7.592	231.143	300.286	322.768	8.59024
1.7	832.400	285.620	76.723	0.700	8.409	0.850	5.641	3.557	6.669	237.766	300.941	323.456	8.57291
1.8	822.530	285.200	76.586	0.687	8.352	0.914	5.310	2.364	5.812	246.001	301.521	323.712	8.41923
1.9	812.800	284.330	80.109	0.680	8.366	0.979	5.018	2.234	5.493	246.002	301.622	323.845	8.40178
2.0	803.060	283.340	84.649	0.672	8.368	1.042	4.992	2.223	5.465	245.996	301.606	323.901	8.39910
2.1	793.500	282.420	89.321	0.670	8.444	1.105	5.641	2.796	6.296	243.634	301.654	324.086	8.42099
2.2	783.960	281.840	90.000	0.659	8.406	1.167	5.514	3.322	6.437	238.932	302.073	324.136	8.25231
2.3	774.620	282.490	79.857	0.644	8.314	1.232	4.822	3.504	5.961	233.995	303.805	324.609	7.75245
