Alt,Pressure,Temp,RH,O3_mba,O3_ppbv,O3_column,U,V,Theta,Theta_e,Mixing_Ratio
0.0,,,,,,,,,,,
0.1,1003.4480000000001,290.634,52.906,1.092,10.792000000000002,0.06,-5.864,-5.1659999999999995,289.882,419.988,7.362
0.2,991.859,289.589,56.124,1.134,11.38,0.18,-7.704,-6.494,289.60400000000004,418.632,7.263
0.3,980.39,288.46,57.865,1.116,11.351,0.291,-7.547999999999999,-7.5760000000000005,289.54,416.818,7.093
0.4,969.013,287.509,59.508,1.146,11.714,0.4,-9.004,-6.388,289.563,413.87,7.008
0.5,957.71,286.62,61.95,1.17,12.08,0.51,-9.889999999999999,-6.8420000000000005,289.582,413.735,6.925000000000001
0.6,946.484,285.65799999999996,63.39,1.17,12.254999999999999,0.613,-8.661999999999999,-6.888,289.642,412.17,6.895
0.7,935.322,284.83799999999997,64.67500000000001,1.2,12.75,0.73,-8.078,-7.267999999999999,289.716,408.76,6.75
0.8,924.406,283.96999999999997,64.0,1.2,12.9,0.846,-7.436,-7.263999999999999,289.938,406.195,6.390000000000001
0.9,913.52,283.118,63.4,1.2,13.03,0.953,-7.292,-6.954000000000001,290.07,403.0,6.275
1.0,902.6899999999999,282.422,62.0,1.205,13.280000000000001,1.08,-6.894,-6.135999999999999,290.226,400.87,6.055
1.1,892.0840000000001,281.60200000000003,61.59,1.2,13.335,1.196,-6.542,-6.24,290.478,392.07000000000005,5.755
1.2,881.492,280.75,58.885000000000005,1.2,13.49,1.306,-7.549999999999999,-6.114,290.66200000000003,388.92499999999995,5.355
1.3,870.928,280.192,56.61,1.2,13.71,1.413,-7.728,-5.701999999999999,291.014,380.31,5.005
1.4,860.616,279.618,49.129999999999995,1.2,13.84,1.516,-6.973999999999999,-6.132,291.198,374.76,4.62
1.5,850.364,278.951,39.838,1.2,14.06,1.636,-6.545999999999999,-5.6339999999999995,291.78499999999997,364.652,3.99
1.6,840.2040000000001,278.85600000000005,29.580000000000002,1.2,14.27,1.75,-7.2459999999999996,-6.59,292.577,346.238,2.68
1.7,830.1419999999999,278.94100000000003,21.758,1.2650000000000001,15.065000000000001,1.856,-7.093999999999999,-5.7780000000000005,293.602,338.236,2.164
1.8,820.2,278.34499999999997,15.176,1.255,15.065000000000001,1.968,-7.159999999999999,-6.482,294.64099999999996,329.024,1.558
1.9,810.31,278.328,7.292000000000002,1.27,15.54,2.108,-6.296,-4.788,295.313,316.03200000000004,0.808
2.0,800.55,278.21,4.654000000000001,1.275,15.805,2.273,-7.79,-5.9559999999999995,295.98,310.74199999999996,0.44600000000000006
2.1,790.72,278.15,4.15,1.3,16.33,2.4,-7.092,-5.893999999999999,297.02,308.513,0.41
2.2,781.06,278.05,3.012,1.3,16.54,2.52,-6.86,-5.774,297.92,307.901,0.28300000000000003
2.3,771.61,277.72,2.7060000000000004,1.385,17.86,2.633,-6.513999999999999,-5.372,298.66,308.073,0.22
2.4,762.226,277.41700000000003,2.274000000000002,1.435,18.645000000000003,2.733,-6.4799999999999995,-5.112,299.156,308.3,0.2260000000000001
2.5,752.869,277.031,1.8980000000000001,1.45,19.21,2.863,-7.216,-3.672,299.678,308.08599999999996,0.17200000000000004
2.6,743.855,276.504,2.0,1.46,19.5,3.0060000000000002,-7.096,-3.042,300.258,309.216,0.17400000000000007
2.7,734.869,276.126,2.0,1.46,19.67,3.21,-6.632,-2.4659999999999997,300.996,309.116,0.18
2.8,725.8019999999999,275.92,2.0,1.5,20.450000000000003,3.4360000000000004,-7.382,-1.7219999999999995,301.863,308.612,0.18
2.9,716.9090000000001,275.168,2.0,1.5,20.759999999999998,3.63,-8.208,-2.0759999999999996,302.32,308.93,0.16200000000000003
3.0,708.15,274.617,2.0,1.5,20.988,3.82,-6.635999999999999,-1.934,302.777,310.062,0.14400000000000007
3.1,699.39,274.249,1.732,1.514,21.434,3.983,-7.372,-1.4079999999999995,303.317,310.502,0.11200000000000003
3.2,690.861,273.90400000000005,1.6800000000000013,1.576,22.54,4.126,-9.166,-1.8319999999999999,303.94,310.76,0.12400000000000005
3.3,682.4069999999999,273.478,1.9200000000000002,1.594,23.188,4.336,-8.831999999999999,-2.43,304.447,310.95799999999997,0.12
3.4,674.0640000000001,272.65,2.0,1.6,23.534,4.533,-8.079999999999998,-1.702,305.006,311.562,0.14200000000000004
3.5,665.7919999999999,272.15900000000005,2.0,1.56,23.174,4.749,-8.986,-0.738,305.556,311.63,0.14
3.6,657.5690000000001,271.84400000000005,1.0100000000000002,1.582,23.85,4.954,-9.459999999999999,-1.7019999999999995,305.979,311.328,0.08200000000000003
3.7,649.355,271.25,1.760000000000001,1.576,24.072000000000003,5.196000000000001,-9.452,-2.366,306.42,312.78000000000003,0.11
3.8,641.235,270.838,2.0220000000000002,1.588,24.51,5.422000000000001,-8.524,-1.7699999999999998,306.974,313.36199999999997,0.14200000000000004
3.9,633.119,270.20799999999997,2.516,1.6,24.944,5.6049999999999995,-7.994,-1.46,307.421,313.916,0.14400000000000007
4.0,625.148,269.635,2.588,1.6,25.27,5.765,-9.462,-0.7959999999999999,307.882,314.77,0.15400000000000005
4.1,617.382,268.90400000000005,2.3200000000000003,1.588,25.408,5.918,-9.845999999999998,-1.0959999999999999,308.175,315.17,0.16200000000000003
4.2,609.629,268.329,2.3160000000000016,1.6,25.971999999999998,6.145,-10.874,-0.8719999999999998,308.608,315.684,0.13200000000000003
4.3,602.004,267.753,2.060000000000001,1.6,26.15,6.429,-10.83,-0.09999999999999978,309.072,315.624,0.12200000000000003
4.4,594.415,267.131,2.176,1.5440000000000003,26.072,6.523,-10.172,0.206,309.478,315.77,0.13
4.5,586.976,266.545,2.080000000000001,1.588,26.98,6.705,-9.856,0.5800000000000001,309.873,316.81800000000004,0.12
4.6,579.6030000000001,265.949,2.0260000000000002,1.6,27.34,6.933,-11.065999999999999,0.2780000000000001,310.241,316.638,0.12
4.7,572.26,265.35,3.0,1.6,27.835,7.101,-11.484,0.47000000000000014,310.719,317.716,0.13
4.8,564.988,264.79,3.0,1.6,28.122,7.249,-10.782,0.518,311.254,317.608,0.13100000000000003
4.9,557.78,263.95599999999996,3.0,1.5,26.844,7.5040000000000004,-12.002,1.246,311.424,317.266,0.14
5.0,550.618,263.178,3.0,1.5,26.94,7.667,-10.846,1.7160000000000002,311.73,317.647,0.13
5.1,543.5319999999999,262.618,2.1480000000000006,1.5,27.195,7.845,-10.918000000000001,1.7440000000000002,312.128,317.806,0.1
5.2,536.53,262.03000000000003,2.0,1.5,27.718,8.059000000000001,-10.280000000000001,2.564,312.746,318.567,0.09
5.3,529.568,261.44599999999997,2.154,1.5,28.126,8.252,-9.74,2.426,313.116,319.284,0.09
5.4,522.74,260.8,2.2680000000000007,1.494,28.311999999999998,8.426,-9.92,1.5420000000000005,313.574,319.053,0.09
5.5,516.018,260.296,2.4500000000000006,1.4880000000000002,28.574,8.606,-10.104,1.1340000000000006,313.96000000000004,319.49,0.09
5.6,509.36,259.63599999999997,2.4950000000000006,1.46,28.439,8.773,-9.536,1.4160000000000001,314.38,320.315,0.09
5.7,502.71000000000004,259.11,2.0,1.4,27.678,8.95,-9.219999999999999,1.8060000000000003,314.876,320.39099999999996,0.08100000000000002
5.8,496.124,258.442,2.0,1.44,28.75,9.112,-10.338,1.8140000000000003,315.448,320.99,0.06
5.9,489.578,257.692,2.4,1.417,28.709,9.289,-11.404,1.3960000000000004,315.924,320.94,0.07
6.0,483.176,256.88,2.22,1.4,28.828,9.435,-12.052,1.3860000000000001,316.098,321.12,0.08
6.1,476.786,256.202,2.7,1.4,29.008,9.65,-12.032,1.216,316.382,320.93,0.07
6.2,470.514,255.626,2.59,1.4,29.567,9.813,-11.784,1.4140000000000001,316.666,321.15,0.07
6.3,464.316,254.956,2.98,1.407,30.095000000000002,9.976,-10.584,3.0260000000000007,316.96,321.41,0.08
6.4,458.13,254.16799999999998,3.0,1.4,30.141,10.136000000000001,-10.182,3.0960000000000005,317.276,321.81,0.08
6.5,451.99,253.642,3.0,1.36,29.59,10.276,-10.264,3.618,317.604,322.5,0.08
6.6,445.936,252.988,2.83,1.3280000000000003,29.618000000000002,10.43,-10.706,3.4720000000000004,318.06,322.59,0.07
6.7,439.94,252.26600000000002,3.0,1.3,29.114,10.576,-11.607999999999999,3.8000000000000003,318.35,323.16,0.07
6.8,434.077,251.56900000000002,3.0,1.3,29.472,10.698,-11.393999999999998,2.412,318.764,323.48,0.07900000000000003
6.9,428.284,250.69,3.2150000000000003,1.224,28.286,10.87,-11.383999999999999,2.8100000000000005,319.0,323.277,0.07
7.0,422.46,250.004,3.676,1.27,29.466,11.01,-11.309999999999999,3.636,319.274,323.7,0.06900000000000003
7.1,416.70200000000006,249.306,3.0,1.27,30.058,11.158000000000001,-11.761999999999999,3.486,319.591,323.20300000000003,0.06
7.2,411.146,248.524,3.0540000000000003,1.2,28.962,11.312,-11.791999999999998,3.478,319.82,323.209,0.06
