95 08 20 23 00
95 08 26 23 00
95 09 02 23 00
95 10 15 23 00
95 10 28 23 00
95 11 05 23 00
95 11 25 23 00
96 01 06 20 20
96 01 11 23 00
96 01 13 21 17
96 01 20 22 14
96 01 28 22 00
96 02 03 21 19
96 02 17 23 03
96 02 24 23 23
96 03 03 22 36
96 03 09 22 27
96 03 16 23 11
96 03 22 23 19
96 03 30 01 01
96 04 12 00 00
96 04 19 22 59
96 04 26 23 42
96 05 03 22 59
96 05 11 23 36
96 05 18 23 02
96 05 26 23 45
96 06 02 00 20
96 06 09 23 03
96 06 15 22 51
96 06 29 23 42
96 07 06 23 31
96 07 12 23 28
96 07 19 22 11
96 07 26 23 09
96 08 02 23 03
96 08 09 22 42
96 08 23 23 11
96 08 30 15 01
96 09 06 23 15
96 09 13 00 00
96 09 20 23 08
96 09 27 23 13
96 10 04 00 01
96 10 11 23 15
96 10 18 23 39
96 10 25 00 01
96 11 09 23 00
96 11 15 23 00
96 11 23 22 57
96 11 29 22 56
96 12 06 22 56
96 12 13 22 56
96 12 20 22 56
96 12 27 22 56
97 01 04 22 56
97 01 11 22 56
97 01 18 22 57
97 01 24 23 00
97 01 31 23 00
97 02 07 23 00
97 02 14 23 00
97 02 22 23 00
97 02 28 23 00
97 03 07 23 00
97 03 15 22 00
97 03 23 23 00
97 03 28 23 00
97 04 13 23 00
97 04 19 23 00
97 04 26 23 00
97 06 06 23 00
97 06 16 23 00
97 06 20 23 00
97 06 28 23 00
98 09 15 23 37
04 03 01 23 38
04 03 13 23 36
04 04 10 23 29
04 04 23 23 49
04 05 14 23 33
04 05 22 00 02
04 07 03 23 38
04 07 09 23 38
04 07 16 23 42
04 07 23 23 39
04 07 30 23 35
04 10 01 23 37
04 10 08 23 41
05 04 22 13 49
05 04 29 23 47
05 06 03 23 40
05 06 10 23 43
05 06 17 23 38
05 06 24 23 29
05 07 01 23 41
05 07 24 23 49
05 07 29 23 41
05 09 05 00 01
05 09 09 23 38
05 09 19 23 55
05 11 29 00 08
06 03 13 00 00
06 03 24 23 43
06 04 14 23 52
06 05 01 00 01
06 06 03 00 10
06 06 16 23 23
06 06 23 23 31
07 01 19 23 44
07 03 23 23 47
07 04 20 23 37
07 05 18 23 48
07 05 25 23 39
07 06 15 23 55
07 06 22 23 50
07 06 28 23 49
07 07 06 23 31
07 07 13 23 54
07 07 20 23 37
07 07 27 23 32
07 08 03 23 37
07 12 05 23 50
08 01 12 23 40
08 01 30 00 21
08 04 04 23 46
08 05 09 00 05
08 05 30 23 38
08 07 05 23 34
08 07 19 00 54
08 07 25 23 56
08 09 05 23 39
08 09 12 23 54
08 10 17 23 44
08 10 24 23 55
08 12 29 23 49
09 01 23 23 42
09 02 20 23 52
09 04 17 23 59
09 05 15 23 42
09 05 22 23 23
09 06 26 23 35
09 07 17 23 33
09 07 25 00 12
09 07 31 23 42
09 08 08 00 36
09 08 15 00 06
09 08 21 23 36
09 08 28 23 53
09 09 12 00 00
09 09 26 00 17
09 11 14 00 17
09 11 21 00 01
10 01 24 23 42
10 03 12 23 45
10 03 28 00 01
10 05 14 23 26
10 05 25 00 08
10 06 04 23 24
10 06 11 23 48
10 06 18 23 51
10 06 25 23 47
10 08 13 23 44
10 08 21 00 02
10 08 28 23 19
10 09 10 23 40
10 09 25 00 05
11 01 14 23 47
12 08 03 23 51
12 08 14 00 19
12 08 17 23 37
12 08 24 23 59
12 09 08 00 13
12 09 14 23 43
12 10 05 23 52
12 10 12 23 48
12 11 09 23 02
12 11 21 23 48
12 12 07 23 35
13 01 11 23 46
13 02 08 23 38
13 03 09 00 06
13 03 15 23 32
13 04 06 00 24
13 04 12 23 32
13 05 17 23 43
13 06 07 23 35
13 06 15 23 42
13 06 21 23 48
13 06 28 23 53
13 07 05 23 43
13 07 12 23 41
13 07 19 23 36
13 07 26 23 35
13 08 14 23 33
13 08 16 23 45
13 08 23 23 38
13 08 31 00 17
13 09 10 23 48
13 09 20 23 45
13 10 11 23 35
13 10 25 23 47
13 11 10 00 11
13 11 16 00 01
13 12 06 23 51
14 01 10 23 35
14 02 14 23 38
14 03 10 00 12
14 03 21 23 39
14 04 11 23 35
14 04 27 23 34
14 05 16 23 39
14 05 23 23 48
14 06 08 23 36
14 06 14 00 02
14 06 20 23 30
14 06 27 23 56
14 07 05 00 12
14 07 11 23 45
14 07 18 23 48
14 07 25 23 29
14 08 10 23 51
14 08 17 23 56
14 08 23 00 25
14 08 29 23 37
14 09 05 23 44
14 09 12 23 32
14 10 10 23 35
14 10 24 23 41
15 04 10 23 46
15 05 08 23 35
15 05 23 23 37
15 06 05 23 33
15 06 14 23 34
15 06 19 23 37
15 06 29 23 34
15 07 04 00 24
15 07 10 23 40
15 07 17 23 33
15 07 24 23 38
15 07 31 23 36
15 08 14 23 38
15 08 28 23 44
15 09 04 23 52
15 09 18 23 38
15 10 09 23 43
15 10 24 23 27
15 11 06 23 45
15 11 20 23 43
15 12 12 23 30
16 01 15 23 42
16 02 12 23 35
16 03 11 23 34
16 03 18 23 51
16 04 08 23 44
16 05 27 23 46
16 06 17 23 39
16 07 15 23 37
16 07 22 23 42
16 07 29 23 37
16 08 12 23 41
16 08 19 23 47
16 08 27 00 16
16 09 09 23 43
18 01 13 01 06
18 02 18 00 19
18 04 20 00 12
18 05 11 23 50
18 05 27 00 32
18 06 08 23 35
18 06 22 23 47
18 07 20 23 42
18 07 27 23 33
18 08 04 23 50
18 08 11 23 46
18 08 25 23 41
19 04 27 00 19
19 05 03 23 37
19 05 17 00 00
19 06 16 23 39
19 06 21 23 43
19 07 05 23 35
19 07 13 23 32
19 07 27 00 13
19 08 09 23 40
19 08 20 23 42
19 08 23 23 39
19 08 30 23 47
19 09 06 23 53
19 09 13 23 45
19 10 13 23 46
19 10 18 23 47
19 11 08 23 35
19 11 15 23 36
