Alt,Pressure,Temp,RH,O3_mba,O3_ppbv,O3_column,U,V,Theta,Theta_e,Mixing_Ratio
0.0,,,,,,,,,,,
0.1,1007.192,292.216,60.984,1.766,17.518,0.1,-2.574,-2.3299999999999996,291.46,461.39,9.482
0.2,995.656,291.14099999999996,63.834999999999994,1.8,18.008,0.28,-3.42,-3.3179999999999996,291.327,456.794,9.239
0.3,984.18,290.21,66.366,1.8,18.307,0.45,-3.154,-3.5699999999999994,291.35,453.813,9.127
0.4,972.768,289.31,68.394,1.8100000000000003,18.658,0.6259999999999999,-3.33,-3.312,291.4,452.228,8.953999999999999
0.5,961.332,288.45,71.015,1.8,18.715,0.79,-3.928,-3.158,291.45599999999996,450.16499999999996,8.915
0.6,950.158,287.57,72.0,1.8,19.02,0.96,-4.588,-2.378,291.584,445.24,8.565000000000001
0.7,939.096,286.838,73.27000000000001,1.8050000000000002,19.24,1.1389999999999998,-4.417999999999999,-2.1479999999999997,291.716,441.08500000000004,8.335
0.8,927.976,286.036,73.16499999999999,1.8250000000000002,19.634999999999998,1.3,-3.8779999999999992,-2.066,291.87,435.075,7.905
0.9,917.072,285.234,73.19999999999999,1.83,19.86,1.4689999999999999,-1.772,-1.996,292.168,431.2,7.66
1.0,906.196,284.656,72.08,1.8,19.885,1.6489999999999998,-3.2279999999999993,-2.1839999999999997,292.568,425.20000000000005,7.39
1.1,895.346,284.08,72.88,1.8,20.04,1.82,-2.448,-1.1959999999999997,292.81,420.735,7.140000000000001
1.2,884.662,283.51599999999996,71.185,1.8050000000000002,20.37,1.9879999999999998,-2.6619999999999995,-1.9859999999999993,293.258,417.355,6.8
1.3,874.156,282.914,69.0,1.8,20.564999999999998,2.1590000000000003,-2.5439999999999996,-0.9219999999999997,293.71000000000004,409.91,6.445
1.4,863.71,282.572,67.93,1.8,20.75,2.3049999999999997,-3.1739999999999995,-0.9879999999999998,294.356,400.75,6.0
1.5,853.225,282.44599999999997,65.856,1.795,20.93,2.4659999999999997,-3.61,-0.5539999999999999,295.342,396.24,5.648
1.6,843.0,282.22900000000004,60.91,1.8,21.235,2.629,-2.792,-0.6379999999999998,296.054,390.976,5.134
1.7,832.9,281.832,55.2,1.8,21.61,2.7969999999999997,-3.0259999999999994,-0.5859999999999999,296.69100000000003,381.712,4.662
1.8,822.906,281.45,43.854,1.8050000000000002,21.915,2.948,-2.27,-0.5699999999999997,297.36,369.276,4.032
