Alt,Pressure,Temp,RH,O3_mba,O3_ppbv,O3_column,U,V,Theta,Theta_e,Mixing_Ratio
0.0,,,,,,,,,,,
0.1000000000000005,1008.8965201465202,293.85084249084275,67.17580524344571,2.187237354085602,21.681439688715944,0.2576727272727272,-0.09794871794871794,-0.23358974358974352,293.1126739926741,485.5821348314604,10.747528089887647
0.200000000000001,997.3530344827586,292.63651724137924,70.0819718309859,2.2071428571428555,22.132380952380956,0.5022680412371131,-0.36128205128205126,-0.34871794871794864,292.86044827586215,480.6988028169014,10.499366197183098
0.2999999999999984,985.8288316151198,291.6113745704467,72.34746478873238,2.2294525547445256,22.618540145985385,0.7107191780821913,-0.22410256410256424,-0.14,292.803505154639,476.3240140845071,10.26070422535212
0.400000000000002,974.3989383561642,290.6916438356164,74.72024561403508,2.233563636363637,22.925854545454552,0.910511945392491,-0.47128205128205136,0.0856410256410255,292.85321917808204,473.43438596491234,10.095157894736838
0.5,963.0612969283279,289.83843003412983,76.59923076923074,2.2373188405797095,23.233949275362303,1.1132312925170074,-0.8200000000000001,0.0384615384615385,292.9705119453924,470.0450000000001,9.895944055944051
0.5999999999999968,951.809931740615,289.01054607508524,77.9919230769231,2.239855072463768,23.535615942028997,1.317857142857143,-1.0423076923076924,0.36179487179487185,293.1133105802049,465.87300699300727,9.650559440559435
0.699999999999997,940.6601023890786,288.2262457337887,78.89639860139862,2.2432971014492744,23.85195652173913,1.523571428571428,-0.9728205128205127,0.9817948717948718,293.30105802047785,461.15013986014,9.370629370629368
0.800000000000004,929.6190784982941,287.4999317406146,78.75454545454548,2.2356884057971005,24.052862318840567,1.7281292517006805,-0.6612820512820512,1.1351282051282048,293.5484641638226,455.04384615384583,9.0084965034965
0.9000000000000031,918.6669965870304,286.8185665529011,78.77993006993013,2.221304347826086,24.187282608695647,1.9318367346938772,-0.30179487179487186,1.6541025641025642,293.84331058020496,449.98265734265743,8.700874125874128
1.0,907.8146075085322,286.1823890784985,78.10174825174825,2.22731884057971,24.541702898550717,2.137380952380953,-0.48666666666666675,1.886410256410257,294.1850170648465,444.4287412587412,8.362307692307695
1.1000000000000016,897.066928327645,285.56737201365183,77.76706293706293,2.2292028985507235,24.8590579710145,2.3432993197278917,-0.3351282051282051,2.245384615384615,294.55034129692825,439.8743706293707,8.078811188811182
1.1999999999999935,886.4138907849831,284.97976109215,77.03622377622376,2.2307971014492742,25.176268115942026,2.5497619047619056,-0.46820512820512816,2.5412820512820518,294.9453924914675,434.8909790209794,7.770000000000002
1.300000000000007,875.8673037542655,284.4563481228671,75.69527972027969,2.220000000000001,25.35528985507248,2.756224489795917,-0.5566666666666666,2.6915384615384617,295.4075085324229,429.73101398601415,7.446258741258744
1.399999999999994,865.4204436860066,284.0117406143344,73.3488811188811,2.2154347826086953,25.60829710144929,2.9645918367346957,-0.5843589743589743,3.1615384615384627,295.95430034129686,423.872167832168,7.078216783216778
1.5,855.0648630136991,283.66404109589047,70.38178947368422,2.2185144927536236,25.95489130434782,3.1724149659863925,-0.5661538461538463,3.5417948717948726,296.6053424657534,417.6343508771928,6.682701754385963
1.600000000000008,844.8438013698632,283.34958904109567,66.56670175438592,2.2284782608695655,26.388297101449268,3.388197278911566,-0.5712820512820513,3.311025641025641,297.29208904109566,410.69838596491235,6.247508771929825
1.6999999999999922,834.754143835616,283.04109589041076,63.53224561403511,2.2492391304347827,26.95702898550725,3.6129251700680283,-0.832820512820513,3.401025641025641,297.98886986301386,405.0029824561404,5.882912280701752
1.8000000000000063,824.7720547945204,282.7751027397262,59.15943859649125,2.274891304347826,27.593260869565235,3.8347278911564597,-0.8430769230769232,3.96025641025641,298.73267123287656,397.9186666666668,5.439824561403512
1.8999999999999897,814.895034246575,282.54202054794536,54.75796491228074,2.3061231884057967,28.313550724637707,4.057482993197277,-0.614102564102564,4.416410256410257,299.5136986301367,390.7422105263154,4.9912631578947355
2.0,805.1114776632296,282.30226804123714,50.23904929577465,2.3470289855072455,29.166086956521735,4.282551020408161,-0.83,4.374615384615384,300.29137457044675,383.58169014084496,4.5455281690140845
2.1000000000000116,795.4510309278353,282.07003436426095,45.99728873239438,2.3908695652173915,30.07463768115944,4.509353741496601,-0.6458974358974359,4.051538461538462,301.07876288659776,377.4284507042257,4.155704225352114
2.2000000000000033,785.8960481099659,281.7941237113405,42.73295774647888,2.423695652173913,30.857318840579694,4.739523809523812,-0.4943589743589742,4.1805128205128215,301.8221993127148,372.25563380281693,3.8245422535211255
2.299999999999995,776.4387972508584,281.5028178694159,39.35119718309857,2.4555072463768117,31.640869565217375,4.97234693877551,-0.4741025641025641,4.482564102564102,302.55178694158076,366.69982394366207,3.475352112676059
2.399999999999987,767.0776896551725,281.1776551724136,36.61583038869257,2.4815579710144915,32.365289855072476,5.209013605442175,-0.5625641025641026,4.6669230769230765,303.2489310344829,362.53526501766817,3.203568904593642
2.5,757.8260000000001,280.8321034482758,34.26406360424027,2.4938768115942014,32.922028985507254,5.447176870748296,-0.38948717948717965,4.765641025641026,303.9253103448277,358.8912367491166,2.96332155477032
2.600000000000014,748.6730344827585,280.4524827586207,32.893038869257936,2.5175000000000005,33.63978260869564,5.686394557823122,-0.13025641025641022,5.182820512820514,304.56751724137916,356.27180212014116,2.7827208480565386
2.7000000000000113,739.6103103448271,280.00548275862076,32.36833922261482,2.532934782608696,34.25757246376813,5.928435374149657,-0.0010256410256410835,5.504358974358973,305.1380344827588,355.1474204946997,2.6862897526501786
