Alt,Pressure,Temp,RH,O3_mba,O3_ppbv,O3_column,U,V,Theta,Theta_e,Mixing_Ratio
0.0,,,,,,,,,,,
0.1,1011.346,295.202,73.084,2.6,25.834,0.17,2.7579999999999982,1.43,294.572,511.302,12.112
0.2,999.803,293.933,75.76599999999999,2.6039999999999996,26.308,0.44,3.023999999999999,1.384,294.21299999999997,505.651,11.843
0.3,988.16,292.94,78.17699999999999,2.631,26.721,0.7069999999999999,3.1879999999999966,2.0139999999999993,294.21,501.358,11.573
0.4,976.666,292.051,81.0,2.6079999999999997,26.976,0.98,2.809999999999998,2.2119999999999993,294.22,498.21999999999997,11.38
0.5,965.37,291.26800000000003,82.70500000000001,2.645,27.46,1.24,2.767999999999999,1.918,294.46,492.53499999999997,11.07
0.6,954.1080000000001,290.408,84.0,2.62,27.555,1.52,3.749999999999998,1.9859999999999984,294.57,487.28499999999997,10.76
0.7,942.984,289.65,84.84,2.63,27.975,1.7619999999999998,2.8959999999999995,3.019999999999998,294.88,482.3,10.405000000000001
0.8,931.93,289.07,85.2,2.6,28.09,2.021,2.9419999999999997,2.9979999999999998,295.2,474.705,10.03
0.9,920.9780000000001,288.41999999999996,85.19999999999999,2.6,28.435000000000002,2.29,2.277999999999998,2.959999999999999,295.582,468.575,9.72
1.0,910.1080000000001,288.058,84.7,2.6,28.605,2.521,2.0099999999999953,4.977999999999999,296.036,462.445,9.23
1.1,899.316,287.378,86.015,2.6,29.0,2.7619999999999996,2.681999999999996,5.1539999999999955,296.392,457.73,8.955
1.2,888.614,286.874,86.045,2.61,29.5,3.002,2.5659999999999985,5.093999999999998,296.922,453.975,8.735
1.3,878.068,286.464,85.695,2.6,29.75,3.2329999999999997,1.965999999999999,5.125999999999998,297.494,449.235,8.455
1.4,867.614,286.004,85.0,2.6,30.02,3.492,2.3139999999999974,5.153999999999997,298.04400000000004,446.47,8.23
1.5,857.221,285.60699999999997,82.946,2.6,30.44,3.73,1.9499999999999997,6.121999999999999,298.711,442.394,7.9559999999999995
1.6,846.964,285.30400000000003,81.996,2.6,30.799999999999997,3.992,2.007999999999999,6.795999999999999,299.278,436.298,7.631999999999999
1.7,836.854,284.96500000000003,81.0,2.6,31.175,4.28,1.9539999999999993,8.131999999999996,299.886,433.382,7.444
1.8,826.9,284.711,77.27600000000001,2.675,32.400000000000006,4.521999999999999,1.886,7.677999999999998,300.55400000000003,429.084,7.13
1.9,816.942,284.38,76.866,2.715,33.305,4.79,2.298,8.855999999999996,301.305,427.19599999999997,6.9559999999999995
2.0,807.17,284.03,75.02499999999999,2.755,34.325,5.023999999999999,2.0619999999999994,8.181999999999999,302.13,420.532,6.652
2.1,797.54,283.77,71.131,2.8,35.040000000000006,5.33,1.5959999999999996,6.951999999999999,302.74,409.103,5.953
2.2,787.93,283.42,66.868,2.8,35.705,5.563,1.9519999999999995,7.616,303.39,405.015,5.702
2.3,778.5,283.07,61.099999999999994,2.8099999999999996,36.36,5.831,2.312,9.155999999999995,304.07,394.49100000000004,4.965999999999999
2.4,769.1759999999999,282.822,55.91399999999998,2.8,36.565,6.083,1.8919999999999997,9.063999999999997,304.878,387.572,4.553999999999999
2.5,759.913,282.473,48.71199999999999,2.8049999999999997,37.25,6.36,2.097999999999999,8.639999999999997,305.5,381.188,4.169999999999998
2.6,750.7719999999999,282.062,45.922,2.8099999999999996,37.51,6.603,2.8959999999999986,8.902,306.123,377.556,4.1
2.7,741.616,281.733,45.483999999999995,2.9,39.285,6.882,3.101999999999999,10.329999999999997,306.872,375.822,3.661999999999998
