#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2020-12-19,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2020-12-19,23:36:11
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
969.2,1.1,18.0,78.5,86.0,9.6,460.2
968.7,1.1,17.9,78.5,86.2,9.7,464.8
968.0,1.1,17.9,78.8,86.5,9.7,469.7
967.5,1.1,17.8,79.2,86.7,9.8,474.3
967.1,1.1,17.8,79.6,87.0,9.9,478.5
966.7,1.1,17.7,80.0,87.2,10.0,482.4
966.2,1.1,17.7,80.1,87.4,10.1,486.5
965.7,1.1,17.7,80.2,87.5,10.2,490.7
965.2,1.1,17.6,80.5,87.7,10.2,495.2
964.7,1.1,17.6,80.6,87.8,10.3,499.8
964.1,1.1,17.6,80.4,87.9,10.4,504.6
963.6,1.1,17.5,80.2,87.9,10.4,509.3
963.1,1.1,17.5,80.3,87.9,10.5,513.7
962.7,1.1,17.4,80.5,87.8,10.5,518.0
962.2,1.1,17.4,81.1,87.7,10.6,522.1
961.7,1.1,17.3,81.8,87.5,10.6,526.2
961.3,1.1,17.3,82.2,87.3,10.6,530.1
960.8,1.1,17.3,82.3,87.0,10.6,534.0
960.4,1.1,17.2,82.4,86.7,10.6,537.8
960.0,1.1,17.2,82.7,86.3,10.7,541.8
959.5,1.1,17.1,82.9,85.9,10.7,546.4
958.8,1.1,17.1,82.9,85.5,10.6,551.3
958.3,1.1,17.0,82.8,85.0,10.6,556.0
957.9,1.1,17.0,82.7,84.5,10.6,560.6
957.4,1.1,17.0,82.9,84.0,10.6,565.1
956.8,1.1,16.9,83.2,83.4,10.6,569.8
956.3,1.1,16.9,83.3,82.9,10.6,574.4
955.8,1.1,16.8,83.4,82.4,10.5,579.1
955.3,1.1,16.8,83.5,81.8,10.5,583.5
954.8,1.1,16.8,83.7,81.3,10.4,587.9
954.3,1.1,16.7,84.0,80.9,10.4,592.1
953.9,1.1,16.7,84.4,80.4,10.3,596.1
953.5,1.1,16.6,84.9,80.0,10.3,600.0
953.0,1.1,16.6,85.0,79.6,10.2,603.9
952.6,1.1,16.6,84.9,79.3,10.1,607.8
952.1,1.1,16.5,85.0,78.9,10.0,611.6
951.7,1.1,16.5,85.2,78.7,10.0,615.4
951.3,1.1,16.5,85.3,78.4,9.9,619.2
950.9,1.1,16.4,85.4,78.2,9.8,623.0
950.5,1.1,16.4,85.7,78.1,9.7,627.3
949.9,1.1,16.3,86.1,77.9,9.6,632.4
949.2,1.1,16.3,86.4,77.8,9.5,638.1
948.5,1.1,16.2,86.8,77.8,9.4,643.8
947.9,1.1,16.2,87.0,77.7,9.3,649.1
947.4,1.1,16.1,87.0,77.7,9.3,653.6
947.0,1.1,16.1,87.0,77.8,9.2,657.8
946.6,1.1,16.0,87.0,77.8,9.1,662.0
946.0,1.1,16.0,87.2,77.8,9.1,666.6
945.4,1.1,15.9,87.3,77.9,9.1,671.7
944.9,1.1,15.9,87.3,77.9,9.0,677.1
944.3,1.1,15.9,87.2,78.0,9.0,682.5
943.7,1.1,15.8,87.4,78.0,9.0,687.7
943.1,1.1,15.8,87.9,78.0,9.1,692.6
942.6,1.1,15.7,88.3,78.0,9.1,697.1
942.2,1.1,15.7,88.5,78.0,9.2,701.5
941.7,1.1,15.6,88.6,78.0,9.2,706.0
941.1,1.1,15.6,88.4,78.0,9.3,710.7
940.6,1.1,15.6,88.2,78.0,9.4,715.9
940.0,1.1,15.6,88.1,78.0,9.5,721.3
939.3,1.1,15.5,87.8,78.1,9.6,726.8
938.8,1.1,15.5,87.5,78.1,9.7,732.0
938.3,1.1,15.5,87.3,78.1,9.9,736.9
937.7,1.1,15.4,87.1,78.1,10.0,741.7
937.2,1.1,15.4,87.1,78.1,10.1,746.4
936.7,1.1,15.4,87.3,78.2,10.2,750.9
936.2,1.1,15.4,87.8,78.3,10.3,755.4
935.7,1.1,15.3,87.9,78.3,10.4,759.9
935.2,1.1,15.3,87.9,78.4,10.5,764.5
934.7,1.1,15.3,87.8,78.5,10.5,769.3
934.1,1.1,15.2,87.6,78.7,10.6,773.9
933.6,1.1,15.2,87.3,78.8,10.6,778.3
933.2,1.1,15.2,86.6,79.0,10.6,782.3
932.8,1.1,15.2,85.8,79.2,10.6,786.4
932.3,1.1,15.2,85.0,79.4,10.6,790.8
931.8,1.1,15.2,84.3,79.7,10.6,795.5
931.2,1.1,15.2,83.9,79.9,10.5,800.4
930.7,1.1,15.2,83.9,80.2,10.5,805.4
930.2,1.1,15.2,84.2,80.4,10.4,810.4
929.6,1.1,15.2,84.4,80.7,10.3,815.5
929.0,1.1,15.1,84.4,81.0,10.2,820.8
928.4,1.1,15.1,84.2,81.2,10.1,826.2
927.8,1.1,15.1,84.2,81.5,10.0,831.3
927.3,1.1,15.0,84.4,81.8,9.9,836.1
926.9,1.1,15.0,84.5,82.2,9.8,840.5
926.4,1.1,14.9,84.5,82.5,9.7,844.7
925.9,1.1,14.9,84.6,82.8,9.6,848.9
925.5,1.1,14.8,84.7,83.1,9.5,853.1
925.0,1.2,14.8,84.4,83.4,9.4,857.3
924.6,1.2,14.8,84.2,83.8,9.3,861.8
924.0,1.2,14.7,83.9,84.1,9.2,866.6
923.5,1.2,14.7,83.6,84.4,9.1,871.8
922.9,1.2,14.7,83.4,84.7,9.0,877.1
922.3,1.2,14.7,83.2,85.1,8.9,882.4
921.7,1.2,14.7,82.8,85.4,8.9,887.7
921.1,1.2,14.6,82.6,85.8,8.8,892.9
920.6,1.2,14.6,82.5,86.2,8.8,898.0
920.0,1.2,14.6,82.6,86.5,8.7,903.1
919.5,1.2,14.5,82.9,86.9,8.7,908.2
919.0,1.2,14.5,83.2,87.3,8.6,913.3
918.4,1.2,14.4,83.4,87.6,8.6,918.3
