CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19990911 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 5.600
Integrated O3 until EOF (DU)     : 286.025
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 5.3      534.060   262.150     1.000     2.478     46.399   14.810     6.079     6.251   313.430   313.720     0.00003
 5.4      527.110   261.220     1.000     2.410     45.721   15.058     6.720     1.643   313.490   313.780     0.00003
 5.5      520.270   260.410     1.000     2.400     46.130   15.306     4.789     0.946   313.680   313.970     0.00003
 5.6      513.480   259.420     1.000     2.360     45.961   15.551     4.683     1.821   313.670   313.950     0.00003
 5.7      506.770   258.620     1.000     2.417     47.688   15.803     4.998     2.809   313.860   314.150     0.00002
 5.8      500.130   258.050     1.000     2.345     46.888   16.048     5.218     4.040   314.350   314.640     0.00002
 5.9      493.530   257.250     1.000     2.330     47.211   16.291     5.250     4.251   314.570   314.860     0.00002
 6.0      486.970   256.350     1.000     2.300     47.231   16.533     4.595     1.175   314.660   314.960     0.00002
 6.1      480.580   255.650     1.000     2.330     48.483   16.778     5.250     1.636   314.990   315.280     0.00002
 6.2      474.170   255.260     1.000     2.330     49.139   17.024     8.104     2.036   315.710   316.010     0.00002
 6.3      467.910   254.870     1.000     2.320     49.582   17.269     7.759     3.264   316.420   316.720     0.00002
 6.4      461.650   254.020     1.000     2.236     48.438   17.506     7.862     4.235   316.580   316.880     0.00002
 6.5      455.470   253.250     1.000     2.244     49.278   17.745     9.024     4.018   316.840   317.140     0.00002
 6.6      449.320   252.450     1.000     2.277     50.683   17.988     7.670     3.001   317.060   317.370     0.00002
 6.7      443.290   251.850     1.000     2.208     49.813   18.224     7.198     1.795   317.530   317.840     0.00002
 6.8      437.320   251.750     1.000     2.250     51.450   18.465     8.419     3.574   318.630   318.950     0.00002
 6.9      431.390   251.550    18.000     2.400     55.634   18.721     8.636     2.153   319.620   320.760     0.00028
 7.0      425.620   250.890    25.556     2.420     56.858   18.981     9.520     2.551   320.010   321.470     0.00039
 7.1      419.840   249.850    37.333     2.437     58.037   19.244    10.579     2.227   319.920   321.800     0.00052
 7.2      414.130   249.460    49.000     2.430     58.677   19.506    11.514     1.414   320.670   323.030     0.00067
 7.3      408.490   248.550    44.000     2.380     58.263   19.764    12.572     0.219   320.750   322.780     0.00056
 7.4      402.880   247.760    54.444     2.266     56.234   20.010    13.432    -0.574   320.990   323.330     0.00066
 7.5      397.420   247.120    59.000     2.140     53.847   20.243    15.102    -1.321   321.410   323.830     0.00068
 7.6      391.950   246.350    68.000     2.130     54.344   20.476    17.279    -2.122   321.680   324.300     0.00074
 7.7      386.500   245.850    69.250     2.060     53.299   20.702    18.486    -2.270   322.300   324.920     0.00073
 7.8      381.160   245.210    70.429     1.831     48.049   20.903    19.837    -2.436   322.740   325.300     0.00071
 7.9      375.900   244.630    68.833     1.598     42.520   21.079    21.141    -1.787   323.260   325.700     0.00067
 8.0      370.700   243.970    68.750     1.465     39.520   21.240    20.868    -2.562   323.670   326.020     0.00064
 8.1      365.510   243.070    73.000     1.380     37.756   21.393    21.545    -2.264   323.770   326.110     0.00063
 8.2      360.450   242.160    76.000     1.400     38.841   21.549    23.567    -0.823   323.840   326.130     0.00061
 8.3      355.370   241.550    72.857     1.390     39.114   21.704    24.853     0.434   324.330   326.470     0.00056
 8.4      350.360   241.140    61.000     1.452     41.450   21.866    26.595    -0.929   325.090   326.920     0.00046
 8.5      345.450   240.260    59.000     1.489     43.111   22.033    27.396     0.444   325.210   326.890     0.00041
 8.6      340.600   239.850    53.167     1.470     43.159   22.198    27.150     0.948   325.970   327.500     0.00036
 8.7      335.700   239.020    48.000     1.390     41.406   22.355    29.982     1.047   326.190   327.550     0.00031
 8.8      330.980   238.550    47.000     1.350     40.788   22.507    32.080     1.120   326.860   328.170     0.00029
 8.9      326.240   238.150    43.143     1.290     39.541   22.653    32.482    -1.053   327.650   328.880     0.00026
 9.0      321.600   237.350    41.000     1.485     46.175   22.821    32.406    -1.698   327.890   329.030     0.00023
 9.1      317.040   236.380    38.000     1.562     49.263   22.999    32.648    -2.283   327.880   328.910     0.00020
 9.2      312.470   235.520    40.667     1.453     46.512   23.165    32.354    -2.262   328.040   329.080     0.00020
 9.3      307.920   234.710    34.000     1.470     47.739   23.334    33.416    -3.512   328.270   329.180     0.00015
 9.4      303.490   233.950    33.000     1.630     53.709   23.522    33.350    -4.095   328.570   329.440     0.00014
 9.5      299.090   233.210    33.000     1.664     55.628   23.714    33.548    -4.119   328.900   329.750     0.00013
 9.6      294.710   232.250    34.000     1.799     61.034   23.922    33.372    -4.690   328.920   329.750     0.00012
 9.7      290.380   231.250    31.000     1.874     64.552   24.141    33.976    -5.381   328.890   329.660     0.00010
 9.8      286.130   230.380    32.000     1.840     64.306   24.356    34.174    -5.413   329.030   329.790     0.00010
 9.9      281.960   229.490    34.000     1.732     61.427   24.559    34.173    -6.026   329.130   329.890     0.00010
10.0      277.760   228.540    32.875     1.506     54.228   24.736    34.257    -6.118   329.170   329.890     0.00009
10.1      273.620   227.650    32.000     1.460     53.359   24.909    34.455    -6.697   329.300   330.000     0.00008
10.2      269.560   226.640    33.111     1.370     50.824   25.072    34.834    -6.841   329.240   329.930     0.00007
10.3      265.470   226.260    33.900     1.539     57.973   25.255    33.854    -8.441   330.120   330.820     0.00007
10.4      261.540   226.170    21.600     2.322     88.782   25.531    34.696    -9.297   331.390   332.010     0.00005
10.5      257.620   225.950    20.000     2.520     97.818   25.832    37.650    -8.692   332.500   333.110     0.00004
10.6      253.730   226.080    17.667     2.567    101.160   26.137    39.773    -6.062   334.140   334.740     0.00004
10.7      249.900   225.850    10.000     2.600    104.040   26.447    39.900    -4.899   335.240   335.790     0.00002
10.8      246.140   225.340     7.000     2.700    109.690   26.770    39.261    -3.435   335.930   336.460     0.00001
10.9      242.490   224.480     6.700     2.620    108.050   27.084    38.377    -2.011   336.080   336.610     0.00001
