CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19950812 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 130.230
Integrated O3 until EOF (DU)     : 32.699
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.2     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.3      993.620   287.820    65.754     3.200    32.205     0.299  9000.000  9000.000   288.350   305.060     0.00698
 0.4      981.930   286.810    70.082     3.108    31.653     0.591  9000.000  9000.000   288.300   305.220     0.00704
 0.5      970.270   285.880    72.864     3.107    32.020     0.884  9000.000  9000.000   288.350   305.160     0.00697
 0.6      958.830   284.910    75.000     3.043    31.739     1.171  9000.000  9000.000   288.340   304.810     0.00680
 0.7      947.410   284.010    80.234     3.100    32.721     1.465  9000.000  9000.000   288.410   305.260     0.00693
 0.8      936.160   283.070    81.797     3.100    33.114     1.760  9000.000  9000.000   288.440   304.820     0.00672
