CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 20050422 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 11.969
Integrated O3 until EOF (DU)     : 162.145
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.2     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.3      976.360   294.260    85.226     1.115    11.425     0.102    10.937    -4.642   296.270   329.790     0.01392
 0.4      965.230   293.620    86.109     1.099    11.385     0.203    12.455    -4.533   296.590   329.610     0.01367
 0.5      954.160   292.990    87.000     1.090    11.424     0.303    13.268    -4.364   296.930   329.490     0.01343
 0.6      943.040   292.360    87.000     1.065    11.298     0.401    13.840    -3.591   297.280   329.040     0.01306
 0.7      932.250   291.800    87.000     1.030    11.050     0.496    13.886    -3.206   297.690   328.810     0.01275
 0.8      921.510   291.110    82.846     1.013    10.994     0.590    13.506    -2.871   297.970   326.760     0.01176
 0.9      910.740   290.350    83.417     0.956    10.495     0.679    12.881    -2.787   298.190   326.210     0.01140
