CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19970628 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 9.815
Integrated O3 until EOF (DU)     : 214.863
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, CCE64B
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 5.1      545.530   262.210    23.300     2.170    39.778    13.506  9000.000  9000.000   311.610   313.820     0.00071
 5.2      538.410   261.560    23.000     2.100    39.003    13.722  9000.000  9000.000   312.000   314.120     0.00067
 5.3      531.450   260.660    23.355     2.100    39.515    13.939  9000.000  9000.000   312.080   314.130     0.00065
 5.4      524.490   259.990    22.806     2.100    40.039    14.156  9000.000  9000.000   312.450   314.400     0.00060
 5.5      517.650   259.110    24.000     2.000    38.636    14.364  9000.000  9000.000   312.560   314.500     0.00060
 5.6      510.830   258.250    22.000     2.000    39.152    14.573  9000.000  9000.000   312.700   314.420     0.00052
 5.7      504.160   257.590    20.000     2.016    39.990    14.784  9000.000  9000.000   313.070   314.610     0.00045
 5.8      497.470   256.700    20.000     2.000    40.204    14.993  9000.000  9000.000   313.180   314.650     0.00043
 5.9      490.870   255.900    19.000     2.000    40.744    15.204  9000.000  9000.000   313.400   314.750     0.00038
 6.0      484.350   254.890    19.000     1.921    39.653    15.407  9000.000  9000.000   313.350   314.630     0.00036
 6.1      477.900   254.050    17.000     1.900    39.757    15.608  9000.000  9000.000   313.510   314.640     0.00030
