CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19960913 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 5.751
Integrated O3 until EOF (DU)     : 254.379
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, CCE64B
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 5.1      552.180   269.280     5.085     1.891     34.255   13.343  9000.000  9000.000   318.910   319.850     0.00027
 5.2      545.220   269.330     3.000     2.100     38.517   13.553  9000.000  9000.000   320.130   320.780     0.00016
 5.3      538.320   269.070     7.258     2.200     40.868   13.773  9000.000  9000.000   320.970   322.270     0.00038
 5.4      531.560   268.430    11.105     2.300     43.269   14.004  9000.000  9000.000   321.370   323.200     0.00056
 5.5      524.820   268.050    11.683     2.400     45.730   14.245  9000.000  9000.000   322.080   323.970     0.00058
 5.6      518.160   267.290    10.297     2.300     44.388   14.477  9000.000  9000.000   322.340   323.980     0.00049
 5.7      511.550   266.510     9.378     2.319     45.331   14.711  9000.000  9000.000   322.570   324.030     0.00043
 5.8      505.030   265.920    13.333     2.367     46.862   14.951  9000.000  9000.000   323.040   324.970     0.00059
 5.9      498.550   265.000    24.000     2.317     46.468   15.186  9000.000  9000.000   323.110   326.250     0.00100
 6.0      492.170   264.390    33.405     2.300     46.732   15.420  9000.000  9000.000   323.550   327.710     0.00134
 6.1      485.850   263.670    33.000     2.211     45.517   15.646  9000.000  9000.000   323.860   327.830     0.00127
 6.2      479.610   262.970    28.512     2.274     47.422   15.879  9000.000  9000.000   324.200   327.540     0.00105
 6.3      473.360   262.120    31.000     2.293     48.451   16.115  9000.000  9000.000   324.360   327.810     0.00108
 6.4      467.260   261.550    31.000     2.200     47.083   16.341  9000.000  9000.000   324.850   328.220     0.00105
 6.5      461.170   260.440    30.486     2.100     45.536   16.558  9000.000  9000.000   324.680   327.790     0.00096
 6.6      455.250   259.910    22.857     2.100     46.129   16.776  9000.000  9000.000   325.220   327.560     0.00069
 6.7      449.290   259.350    21.478     2.100     46.740   16.994  9000.000  9000.000   325.730   327.890     0.00063
