CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 19950805 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 5.873
Integrated O3 until EOF (DU)     : 217.166
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 5.1      551.200   265.330    21.000     2.761    50.097    13.920  9000.000  9000.000   314.400   316.890     0.00081
 5.2      544.140   264.560    20.389     2.669    49.058    14.192  9000.000  9000.000   314.630   316.960     0.00075
 5.3      537.150   263.570    17.000     2.646    49.262    14.462  9000.000  9000.000   314.610   316.480     0.00059
 5.4      530.210   263.000    10.810     2.500    47.151    14.718  9000.000  9000.000   315.090   316.330     0.00036
 5.5      523.330   262.220     9.942     2.400    45.860    14.964  9000.000  9000.000   315.340   316.450     0.00032
 5.6      516.540   261.460    11.143     2.400    46.463    15.212  9000.000  9000.000   315.600   316.780     0.00034
 5.7      509.930   260.640    15.833     2.500    49.026    15.470  9000.000  9000.000   315.760   317.290     0.00046
 5.8      503.290   259.520    17.299     2.440    48.487    15.723  9000.000  9000.000   315.580   317.140     0.00046
 5.9      496.740   258.470    18.707     2.371    47.725    15.970  9000.000  9000.000   315.470   317.050     0.00046
 6.0      490.160   257.720    19.314     2.300    46.923    16.210  9000.000  9000.000   315.760   317.320     0.00046
 6.1      483.730   256.770    30.263     2.300    47.548    16.451  9000.000  9000.000   315.770   317.960     0.00066
 6.2      477.320   255.890    28.000     2.230    46.719    16.686  9000.000  9000.000   315.900   317.860     0.00058
 6.3      470.960   255.140    26.367     2.163    45.933    16.914  9000.000  9000.000   316.170   317.960     0.00052
 6.4      464.720   254.300    31.000     1.983    42.673    17.124  9000.000  9000.000   316.330   318.300     0.00058
 6.5      458.490   253.890    30.000     1.888    41.178    17.325  9000.000  9000.000   317.040   318.930     0.00055
 6.6      452.370   253.220    30.333     1.800    39.791    17.516  9000.000  9000.000   317.410   319.250     0.00053
 6.7      446.270   252.310    31.000     1.977    44.299    17.727  9000.000  9000.000   317.500   319.280     0.00051
 6.8      440.270   251.390    32.723     1.900    43.155    17.931  9000.000  9000.000   317.560   319.340     0.00050
 6.9      434.320   250.640    32.957     1.900    43.746    18.135  9000.000  9000.000   317.840   319.570     0.00048
 7.0      428.460   249.930    30.385     1.900    44.345    18.339  9000.000  9000.000   318.170   319.720     0.00042
 7.1      422.600   249.070    28.276     1.900    44.959    18.545  9000.000  9000.000   318.330   319.730     0.00037
 7.2      416.870   248.130    28.804     1.980    47.506    18.760  9000.000  9000.000   318.360   319.710     0.00035
 7.3      411.140   247.440    27.268     1.973    47.995    18.974  9000.000  9000.000   318.730   319.990     0.00031
 7.4      405.490   246.860    25.845     2.092    51.598    19.203  9000.000  9000.000   319.240   320.420     0.00029
 7.5      399.920   246.090    24.437     2.022    50.555    19.424  9000.000  9000.000   319.500   320.590     0.00026
 7.6      394.390   245.280    25.000     2.118    53.711    19.656  9000.000  9000.000   319.710   320.780     0.00025
 7.7      388.950   244.560    24.019     2.200    56.562    19.899  9000.000  9000.000   320.030   321.040     0.00022
 7.8      383.540   243.730    24.792     2.179    56.817    20.139  9000.000  9000.000   320.230   321.220     0.00022
 7.9      378.190   242.780    25.520     2.100    55.527    20.372  9000.000  9000.000   320.260   321.230     0.00021
 8.0      372.910   241.980    26.000     2.100    56.314    20.606  9000.000  9000.000   320.480   321.430     0.00020
 8.1      367.650   241.210    26.684     2.100    57.120    20.840  9000.000  9000.000   320.760   321.690     0.00019
 8.2      362.480   240.340    27.000     2.064    56.953    21.072  9000.000  9000.000   320.900   321.810     0.00018
 8.3      357.370   239.640    27.000     1.915    53.600    21.287  9000.000  9000.000   321.260   322.150     0.00017
 8.4      352.330   239.020    26.054     1.800    51.089    21.490  9000.000  9000.000   321.730   322.580     0.00016
 8.5      347.300   238.380    23.897     1.745    50.240    21.687  9000.000  9000.000   322.180   322.980     0.00014
 8.6      342.350   237.920    22.901     1.790    52.289    21.889  9000.000  9000.000   322.870   323.640     0.00013
 8.7      337.440   237.360    22.000     1.779    52.716    22.091  9000.000  9000.000   323.440   324.180     0.00012
 8.8      332.640   236.510    22.468     1.700    51.107    22.285  9000.000  9000.000   323.600   324.330     0.00011
 8.9      327.860   235.760    24.719     1.700    51.852    22.479  9000.000  9000.000   323.910   324.660     0.00012
