CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 20031110 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 7.161
Integrated O3 until EOF (DU)     : 245.277
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.2     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.3      982.340   290.680    58.571     2.260    23.006     0.209     2.799    -0.806   292.160   310.350     0.00757
 0.4      970.960   289.620    63.107     2.229    22.956     0.417     2.372    -1.075   292.060   310.660     0.00771
 0.5      959.660   288.790    65.904     2.228    23.217     0.624     2.330    -1.840   292.200   310.870     0.00772
 0.6      948.340   287.780    68.917     2.192    23.111     0.829     1.733    -2.333   292.160   310.740     0.00765
 0.7      937.180   286.910    70.750     2.210    23.582     1.037    -0.006    -2.516   292.260   310.560     0.00750
 0.8      926.160   285.980    76.208     2.200    23.754     1.244    -0.616    -2.241   292.300   311.110     0.00769
