CR2/DMC Archive                  : http://www.cr2.cl/recursos-y-publicaciones/datos-ozonosonda/
STATION                          : Easter Island, Chile
Data Provider                    : DMC Dirección Meteorológica de Chile, GAW Program
Data Compilation                 : 26 July, 2016, by CR2 Center for Climate and Resilience Research, data interpolated every 100m
Latitude (deg)                   : -27.16
Longitude (deg)                  : -109.43
Elevation (m)                    : 41.0
Launch Date                      : 20031112 
Launch Time (UT)                 : 
Highest level reached (hPa)      : 6.400
Integrated O3 until EOF (DU)     : 237.166
Sonde/Sage Climatology(1988-2002): 
Sonde Instrument, SN             : SPC 6A 
Radiosonde, SN                   : Vaisala, OS815N
Solution                         : 1.0% buffered
Applied pump corrections         : 
Pump flow rate (sec/100ml)       : 9000
Background current (uA)          : 9000
Missing or bad values            : 9000
Alt       Press     Temp      RH        O3        O3        O3        u         v         Theta     Theta e   Q         
km        hPa       K         %         mPa       ppbv      DU        m/s       m/s       K         K         g/kg      
 0.0     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.1     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.2     9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.000  9000.00000
 0.3      984.460   290.220    73.568     2.203    22.377     0.204    -1.730     2.973   291.520   313.640     0.00921
 0.4      973.060   289.190    78.188     2.187    22.478     0.408    -1.085     3.219   291.440   313.770     0.00926
 0.5      961.660   288.280    81.000     2.182    22.688     0.612    -0.603     3.734   291.500   313.640     0.00915
 0.6      950.370   287.520    82.326     2.179    22.925     0.816    -0.215     4.107   291.720   313.460     0.00896
 0.7      939.170   286.540    88.000     2.137    22.758     1.017    -0.653     4.222   291.710   313.850     0.00909
 0.8      928.100   285.970    87.000     2.152    23.186     1.219    -0.591     4.339   292.110   313.510     0.00875
 0.9      917.110   285.380    86.851     2.142    23.350     1.421     0.196     5.217   292.500   313.360     0.00850
